Freq,Power,na,na,na
19074975000,-93.7854156494141,0,0,0
19074975125,-92.8542785644531,0,0,0
19074975250,-90.2120971679688,0,0,0
19074975375,-88.120964050293,0,0,0
19074975500,-87.4987487792969,0,0,0
19074975625,-88.2992782592773,0,0,0
19074975750,-89.7416229248047,0,0,0
19074975875,-88.9419784545898,0,0,0
19074976000,-86.3312530517578,0,0,0
19074976125,-84.8834686279297,0,0,0
19074976250,-84.442626953125,0,0,0
19074976375,-83.9165725708008,0,0,0
19074976500,-82.8499526977539,0,0,0
19074976625,-82.4688339233398,0,0,0
19074976750,-84.7363510131836,0,0,0
19074976875,-92.3814468383789,0,0,0
19074977000,-92.2435684204102,0,0,0
19074977125,-87.0690307617188,0,0,0
19074977250,-85.1774063110352,0,0,0
19074977375,-85.4422073364258,0,0,0
19074977500,-85.3179397583008,0,0,0
19074977625,-85.6801071166992,0,0,0
19074977750,-86.4341430664063,0,0,0
19074977875,-88.5882186889648,0,0,0
19074978000,-96.685676574707,0,0,0
19074978125,-104.661209106445,0,0,0
19074978250,-93.4143142700195,0,0,0
19074978375,-92.262336730957,0,0,0
19074978500,-92.8466262817383,0,0,0
19074978625,-91.4629364013672,0,0,0
19074978750,-91.7098007202148,0,0,0
19074978875,-98.8505859375,0,0,0
19074979000,-94.4423522949219,0,0,0
19074979125,-89.4076843261719,0,0,0
19074979250,-90.8511734008789,0,0,0
19074979375,-93.445686340332,0,0,0
19074979500,-97.9609985351563,0,0,0
19074979625,-98.2374649047852,0,0,0
19074979750,-92.9801177978516,0,0,0
19074979875,-92.8519515991211,0,0,0
19074980000,-93.5895004272461,0,0,0
19074980125,-93.8474426269531,0,0,0
19074980250,-91.7227783203125,0,0,0
19074980375,-87.8427276611328,0,0,0
19074980500,-85.0756072998047,0,0,0
19074980625,-84.4681091308594,0,0,0
19074980750,-86.9042663574219,0,0,0
19074980875,-94.3436660766602,0,0,0
19074981000,-105.589973449707,0,0,0
19074981125,-95.7577285766602,0,0,0
19074981250,-92.1874465942383,0,0,0
19074981375,-91.4427490234375,0,0,0
19074981500,-92.1700897216797,0,0,0
19074981625,-93.1010589599609,0,0,0
19074981750,-92.4583053588867,0,0,0
19074981875,-88.611198425293,0,0,0
19074982000,-85.3427276611328,0,0,0
19074982125,-84.9271774291992,0,0,0
19074982250,-86.8478622436523,0,0,0
19074982375,-86.5167541503906,0,0,0
19074982500,-83.9867477416992,0,0,0
19074982625,-81.440071105957,0,0,0
19074982750,-80.0972213745117,0,0,0
19074982875,-79.866325378418,0,0,0
19074983000,-80.934814453125,0,0,0
19074983125,-83.190071105957,0,0,0
19074983250,-85.9607849121094,0,0,0
19074983375,-86.5320587158203,0,0,0
19074983500,-84.4079742431641,0,0,0
19074983625,-82.5207138061523,0,0,0
19074983750,-82.826057434082,0,0,0
19074983875,-84.3044815063477,0,0,0
19074984000,-86.0840530395508,0,0,0
19074984125,-88.7734222412109,0,0,0
19074984250,-91.6332244873047,0,0,0
19074984375,-90.5607070922852,0,0,0
19074984500,-87.6200866699219,0,0,0
19074984625,-86.1955032348633,0,0,0
19074984750,-86.0130233764648,0,0,0
19074984875,-87.0681686401367,0,0,0
19074985000,-89.8255233764648,0,0,0
19074985125,-95.5781097412109,0,0,0
19074985250,-95.9837036132812,0,0,0
19074985375,-91.7316818237305,0,0,0
19074985500,-91.5574035644531,0,0,0
19074985625,-92.2800216674805,0,0,0
19074985750,-89.5478515625,0,0,0
19074985875,-86.3176651000977,0,0,0
19074986000,-85.5690765380859,0,0,0
19074986125,-87.0532073974609,0,0,0
19074986250,-86.8056030273438,0,0,0
19074986375,-85.7932891845703,0,0,0
19074986500,-86.7347183227539,0,0,0
19074986625,-86.6932907104492,0,0,0
19074986750,-84.2101745605469,0,0,0
19074986875,-82.7825317382813,0,0,0
19074987000,-83.4175720214844,0,0,0
19074987125,-85.7541885375977,0,0,0
19074987250,-88.7217102050781,0,0,0
19074987375,-89.0289916992188,0,0,0
19074987500,-89.6554183959961,0,0,0
19074987625,-96.974853515625,0,0,0
19074987750,-114.768432617187,0,0,0
19074987875,-107.368446350098,0,0,0
19074988000,-88.5045852661133,0,0,0
19074988125,-83.6943206787109,0,0,0
19074988250,-81.3139724731445,0,0,0
19074988375,-81.515983581543,0,0,0
19074988500,-84.8091201782227,0,0,0
19074988625,-91.2497024536133,0,0,0
19074988750,-85.7670745849609,0,0,0
19074988875,-82.4799652099609,0,0,0
19074989000,-82.113639831543,0,0,0
19074989125,-85.4897003173828,0,0,0
19074989250,-89.4417190551758,0,0,0
19074989375,-83.4313049316406,0,0,0
19074989500,-78.7337265014648,0,0,0
19074989625,-79.7085418701172,0,0,0
19074989750,-84.2564086914063,0,0,0
19074989875,-85.2816467285156,0,0,0
19074990000,-83.8373489379883,0,0,0
19074990125,-84.6018142700195,0,0,0
19074990250,-84.9264221191406,0,0,0
19074990375,-87.9393692016602,0,0,0
19074990500,-91.4207153320313,0,0,0
19074990625,-83.1947860717773,0,0,0
19074990750,-84.9588928222656,0,0,0
19074990875,-96.0464248657227,0,0,0
19074991000,-86.2162017822266,0,0,0
19074991125,-84.581916809082,0,0,0
19074991250,-86.0191192626953,0,0,0
19074991375,-79.3477172851563,0,0,0
19074991500,-67.36962890625,0,0,0
19074991625,-59.4800910949707,0,0,0
19074991750,-56.5595550537109,0,0,0
19074991875,-57.9427490234375,0,0,0
19074992000,-63.5615272521973,0,0,0
19074992125,-73.8225402832031,0,0,0
19074992250,-76.1772918701172,0,0,0
19074992375,-75.7147216796875,0,0,0
19074992500,-79.2854614257813,0,0,0
19074992625,-85.4527282714844,0,0,0
19074992750,-90.85693359375,0,0,0
19074992875,-84.2062530517578,0,0,0
19074993000,-82.5100402832031,0,0,0
19074993125,-84.0442886352539,0,0,0
19074993250,-86.5293884277344,0,0,0
19074993375,-87.4717483520508,0,0,0
19074993500,-84.2169799804687,0,0,0
19074993625,-82.4721374511719,0,0,0
19074993750,-84.4964599609375,0,0,0
19074993875,-112.768783569336,0,0,0
19074994000,-95.7856216430664,0,0,0
19074994125,-88.010124206543,0,0,0
19074994250,-86.607795715332,0,0,0
19074994375,-86.300048828125,0,0,0
19074994500,-87.3262786865234,0,0,0
19074994625,-89.5757064819336,0,0,0
19074994750,-92.3051986694336,0,0,0
19074994875,-92.7738342285156,0,0,0
19074995000,-91.7837295532227,0,0,0
19074995125,-92.2419662475586,0,0,0
19074995250,-89.1467132568359,0,0,0
19074995375,-84.7140274047852,0,0,0
19074995500,-82.2400283813477,0,0,0
19074995625,-82.5748977661133,0,0,0
19074995750,-85.1310958862305,0,0,0
19074995875,-89.5926895141602,0,0,0
19074996000,-98.6666412353516,0,0,0
19074996125,-97.981559753418,0,0,0
19074996250,-89.2407684326172,0,0,0
19074996375,-86.9212265014648,0,0,0
19074996500,-87.5995254516602,0,0,0
19074996625,-89.7211837768555,0,0,0
19074996750,-93.8882064819336,0,0,0
19074996875,-99.049430847168,0,0,0
19074997000,-98.6626968383789,0,0,0
19074997125,-91.9304885864258,0,0,0
19074997250,-86.4421081542969,0,0,0
19074997375,-84.859619140625,0,0,0
19074997500,-86.3904342651367,0,0,0
19074997625,-84.779411315918,0,0,0
19074997750,-83.7186584472656,0,0,0
19074997875,-87.6324996948242,0,0,0
19074998000,-97.2517623901367,0,0,0
19074998125,-99.6669998168945,0,0,0
19074998250,-98.0426788330078,0,0,0
19074998375,-90.0474166870117,0,0,0
19074998500,-88.1607971191406,0,0,0
19074998625,-89.5869064331055,0,0,0
19074998750,-88.7060089111328,0,0,0
19074998875,-84.9582901000977,0,0,0
19074999000,-83.8277816772461,0,0,0
19074999125,-86.4649505615234,0,0,0
19074999250,-103.064682006836,0,0,0
19074999375,-96.7916412353516,0,0,0
19074999500,-89.0986938476563,0,0,0
19074999625,-91.233772277832,0,0,0
19074999750,-93.7837295532227,0,0,0
19074999875,-92.9986572265625,0,0,0
19075000000,-94.4885940551758,0,0,0
19075000125,-96.7977905273438,0,0,0
19075000250,-94.9178466796875,0,0,0
19075000375,-90.9003219604492,0,0,0
19075000500,-87.565559387207,0,0,0
19075000625,-85.8415908813477,0,0,0
19075000750,-87.8895492553711,0,0,0
19075000875,-88.7588272094727,0,0,0
19075001000,-83.9900894165039,0,0,0
19075001125,-81.7033920288086,0,0,0
19075001250,-82.5066680908203,0,0,0
19075001375,-85.1125640869141,0,0,0
19075001500,-88.1349258422852,0,0,0
19075001625,-90.5192031860352,0,0,0
19075001750,-91.9053573608398,0,0,0
19075001875,-90.7631912231445,0,0,0
19075002000,-87.9778671264648,0,0,0
19075002125,-86.1073455810547,0,0,0
19075002250,-85.3965454101563,0,0,0
19075002375,-84.3833312988281,0,0,0
19075002500,-83.8132095336914,0,0,0
19075002625,-85.711799621582,0,0,0
19075002750,-86.0912780761719,0,0,0
19075002875,-85.0516662597656,0,0,0
19075003000,-85.2906112670898,0,0,0
19075003125,-84.0895462036133,0,0,0
19075003250,-84.1786804199219,0,0,0
19075003375,-87.8346176147461,0,0,0
19075003500,-104.512351989746,0,0,0
19075003625,-94.3905334472656,0,0,0
19075003750,-91.6477508544922,0,0,0
19075003875,-95.2715835571289,0,0,0
19075004000,-104.091247558594,0,0,0
19075004125,-88.0595397949219,0,0,0
19075004250,-83.3648223876953,0,0,0
19075004375,-83.7308120727539,0,0,0
19075004500,-94.5737762451172,0,0,0
19075004625,-99.8395004272461,0,0,0
19075004750,-87.8783569335938,0,0,0
19075004875,-89.2703399658203,0,0,0
19075005000,-91.2924575805664,0,0,0
19075005125,-105.754531860352,0,0,0
19075005250,-93.5671005249023,0,0,0
19075005375,-84.1128692626953,0,0,0
19075005500,-80.8119049072266,0,0,0
19075005625,-80.109375,0,0,0
19075005750,-82.1449813842773,0,0,0
19075005875,-86.4773101806641,0,0,0
19075006000,-88.2727432250977,0,0,0
19075006125,-85.781623840332,0,0,0
