Freq,Power,na,na,na
19999985000,-94.366081237793,0,0,0
19999985025,-91.5523529052734,0,0,0
19999985050,-90.5209808349609,0,0,0
19999985075,-90.6638565063477,0,0,0
19999985100,-91.9844131469727,0,0,0
19999985125,-96.7104797363281,0,0,0
19999985150,-102.415023803711,0,0,0
19999985175,-101.899276733398,0,0,0
19999985200,-93.4094467163086,0,0,0
19999985225,-94.5289154052734,0,0,0
19999985250,-103.023941040039,0,0,0
19999985275,-98.7734451293945,0,0,0
19999985300,-93.3877334594727,0,0,0
19999985325,-91.3047866821289,0,0,0
19999985350,-92.6965866088867,0,0,0
19999985375,-96.0281524658203,0,0,0
19999985400,-99.4219055175781,0,0,0
19999985425,-94.4895401000977,0,0,0
19999985450,-90.5120239257813,0,0,0
19999985475,-88.7038955688477,0,0,0
19999985500,-89.3184661865234,0,0,0
19999985525,-92.0747604370117,0,0,0
19999985550,-96.4500579833984,0,0,0
19999985575,-99.9422836303711,0,0,0
19999985600,-98.7840347290039,0,0,0
19999985625,-96.7859420776367,0,0,0
19999985650,-96.1049652099609,0,0,0
19999985675,-97.9371490478516,0,0,0
19999985700,-101.588447570801,0,0,0
19999985725,-103.558265686035,0,0,0
19999985750,-97.0303802490234,0,0,0
19999985775,-94.2880020141602,0,0,0
19999985800,-94.8288269042969,0,0,0
19999985825,-99.963020324707,0,0,0
19999985850,-104.09398651123,0,0,0
19999985875,-101.215187072754,0,0,0
19999985900,-94.6954498291016,0,0,0
19999985925,-93.3990478515625,0,0,0
19999985950,-97.1392822265625,0,0,0
19999985975,-99.0743255615234,0,0,0
19999986000,-94.6992645263672,0,0,0
19999986025,-88.2535095214844,0,0,0
19999986050,-85.9601745605469,0,0,0
19999986075,-85.5120468139648,0,0,0
19999986100,-86.8548202514648,0,0,0
19999986125,-89.608757019043,0,0,0
19999986150,-92.724494934082,0,0,0
19999986175,-94.7234420776367,0,0,0
19999986200,-96.1797027587891,0,0,0
19999986225,-99.8747634887695,0,0,0
19999986250,-108.092720031738,0,0,0
19999986275,-111.514556884766,0,0,0
19999986300,-104.350051879883,0,0,0
19999986325,-98.5571899414062,0,0,0
19999986350,-97.310188293457,0,0,0
19999986375,-99.8682174682617,0,0,0
19999986400,-101.291801452637,0,0,0
19999986425,-94.6425399780273,0,0,0
