Freq,Power,na,na,na
19999985000,-96.2229919433594,0,0,0
19999985025,-94.8307800292969,0,0,0
19999985050,-93.4819107055664,0,0,0
19999985075,-92.8226547241211,0,0,0
19999985100,-93.5555953979492,0,0,0
19999985125,-95.1365966796875,0,0,0
19999985150,-96.168571472168,0,0,0
19999985175,-96.3825912475586,0,0,0
19999985200,-96.1930465698242,0,0,0
19999985225,-95.0622711181641,0,0,0
19999985250,-93.6511459350586,0,0,0
19999985275,-91.7555236816406,0,0,0
19999985300,-89.8870010375977,0,0,0
19999985325,-89.2560272216797,0,0,0
19999985350,-91.0926361083984,0,0,0
19999985375,-95.532844543457,0,0,0
19999985400,-100.134231567383,0,0,0
19999985425,-95.0245361328125,0,0,0
19999985450,-91.7240524291992,0,0,0
19999985475,-90.6399612426758,0,0,0
19999985500,-91.5605316162109,0,0,0
19999985525,-96.3551406860352,0,0,0
19999985550,-103.670227050781,0,0,0
19999985575,-95.2490997314453,0,0,0
19999985600,-90.0371398925781,0,0,0
19999985625,-88.8314514160156,0,0,0
19999985650,-91.440673828125,0,0,0
19999985675,-94.2963027954102,0,0,0
19999985700,-93.8432235717773,0,0,0
19999985725,-94.3453521728516,0,0,0
19999985750,-98.0771789550781,0,0,0
19999985775,-104.121925354004,0,0,0
19999985800,-103.071357727051,0,0,0
19999985825,-97.5985565185547,0,0,0
19999985850,-92.4267807006836,0,0,0
19999985875,-89.720329284668,0,0,0
19999985900,-88.2643966674805,0,0,0
19999985925,-87.8895721435547,0,0,0
19999985950,-88.5131149291992,0,0,0
19999985975,-89.3759918212891,0,0,0
19999986000,-90.13134765625,0,0,0
19999986025,-91.1254501342773,0,0,0
19999986050,-92.4020919799805,0,0,0
19999986075,-92.6789016723633,0,0,0
19999986100,-91.5273666381836,0,0,0
19999986125,-92.1195755004883,0,0,0
19999986150,-95.2507781982422,0,0,0
19999986175,-96.9079284667969,0,0,0
19999986200,-95.7944183349609,0,0,0
19999986225,-94.7502899169922,0,0,0
19999986250,-97.171989440918,0,0,0
19999986275,-99.6519775390625,0,0,0
19999986300,-98.6618499755859,0,0,0
19999986325,-99.0288162231445,0,0,0
19999986350,-101.937149047852,0,0,0
19999986375,-103.86597442627,0,0,0
19999986400,-99.9144058227539,0,0,0
19999986425,-96.4101486206055,0,0,0
19999986450,-94.5324020385742,0,0,0
19999986475,-93.04638671875,0,0,0
19999986500,-91.6844787597656,0,0,0
19999986525,-91.0608215332031,0,0,0
19999986550,-91.9444198608398,0,0,0
19999986575,-94.6384887695313,0,0,0
19999986600,-98.930419921875,0,0,0
19999986625,-111.308868408203,0,0,0
19999986650,-106.078994750977,0,0,0
19999986675,-97.7471618652344,0,0,0
19999986700,-94.0334243774414,0,0,0
19999986725,-93.6545181274414,0,0,0
19999986750,-96.2891616821289,0,0,0
19999986775,-102.539688110352,0,0,0
19999986800,-102.306327819824,0,0,0
19999986825,-100.324058532715,0,0,0
19999986850,-99.6005859375,0,0,0
19999986875,-99.5668792724609,0,0,0
19999986900,-96.5783538818359,0,0,0
19999986925,-95.4357833862305,0,0,0
19999986950,-96.7672119140625,0,0,0
19999986975,-97.9893798828125,0,0,0
19999987000,-97.0996475219727,0,0,0
19999987025,-95.3679885864258,0,0,0
19999987050,-94.7236099243164,0,0,0
19999987075,-96.9174118041992,0,0,0
19999987100,-100.72624206543,0,0,0
19999987125,-99.5863876342773,0,0,0
19999987150,-99.002067565918,0,0,0
19999987175,-99.8757858276367,0,0,0
19999987200,-100.960502624512,0,0,0
19999987225,-101.510475158691,0,0,0
19999987250,-101.680130004883,0,0,0
19999987275,-101.030250549316,0,0,0
19999987300,-95.8199844360352,0,0,0
19999987325,-90.806022644043,0,0,0
19999987350,-87.7173767089844,0,0,0
19999987375,-86.7937545776367,0,0,0
19999987400,-87.7459411621094,0,0,0
19999987425,-89.7452087402344,0,0,0
19999987450,-92.0252990722656,0,0,0
19999987475,-98.1625442504883,0,0,0
19999987500,-97.0496215820312,0,0,0
19999987525,-91.6475524902344,0,0,0
19999987550,-87.2539520263672,0,0,0
19999987575,-86.0035247802734,0,0,0
19999987600,-85.8585357666016,0,0,0
19999987625,-87.118896484375,0,0,0
19999987650,-90.0109024047852,0,0,0
19999987675,-93.5392837524414,0,0,0
19999987700,-95.548698425293,0,0,0
19999987725,-96.1332931518555,0,0,0
19999987750,-96.813591003418,0,0,0
19999987775,-98.3944931030273,0,0,0
19999987800,-100.092475891113,0,0,0
19999987825,-93.98828125,0,0,0
19999987850,-90.297119140625,0,0,0
19999987875,-89.3329925537109,0,0,0
19999987900,-89.5655059814453,0,0,0
19999987925,-90.2861785888672,0,0,0
19999987950,-90.8723907470703,0,0,0
19999987975,-90.4200744628906,0,0,0
19999988000,-90.4577255249023,0,0,0
19999988025,-92.7828521728516,0,0,0
19999988050,-98.0362854003906,0,0,0
19999988075,-100.597640991211,0,0,0
19999988100,-95.7461013793945,0,0,0
19999988125,-92.5233840942383,0,0,0
19999988150,-90.5099639892578,0,0,0
19999988175,-90.7469024658203,0,0,0
19999988200,-92.7311401367188,0,0,0
19999988225,-95.8133850097656,0,0,0
19999988250,-98.3262481689453,0,0,0
19999988275,-100.158447265625,0,0,0
19999988300,-105.906074523926,0,0,0
19999988325,-98.7930221557617,0,0,0
19999988350,-93.1256408691406,0,0,0
19999988375,-90.6565628051758,0,0,0
19999988400,-91.2089462280273,0,0,0
19999988425,-93.3383636474609,0,0,0
19999988450,-95.0898590087891,0,0,0
19999988475,-92.8114318847656,0,0,0
19999988500,-89.9416351318359,0,0,0
19999988525,-89.9740982055664,0,0,0
19999988550,-95.9015426635742,0,0,0
19999988575,-100.409507751465,0,0,0
19999988600,-96.7852554321289,0,0,0
19999988625,-90.9602432250977,0,0,0
19999988650,-89.0300140380859,0,0,0
19999988675,-88.080322265625,0,0,0
19999988700,-87.8540420532227,0,0,0
19999988725,-88.3271484375,0,0,0
19999988750,-89.4986801147461,0,0,0
19999988775,-91.2684173583984,0,0,0
19999988800,-93.0123062133789,0,0,0
19999988825,-93.2923812866211,0,0,0
19999988850,-92.839241027832,0,0,0
19999988875,-93.9311904907227,0,0,0
19999988900,-108.016906738281,0,0,0
19999988925,-114.69310760498,0,0,0
19999988950,-95.5898513793945,0,0,0
19999988975,-95.3249588012695,0,0,0
19999989000,-97.3045196533203,0,0,0
19999989025,-97.5691070556641,0,0,0
19999989050,-95.9937286376953,0,0,0
19999989075,-94.9900283813477,0,0,0
19999989100,-96.4811706542969,0,0,0
19999989125,-98.9063034057617,0,0,0
19999989150,-95.9649276733398,0,0,0
19999989175,-92.0612564086914,0,0,0
19999989200,-90.1259460449219,0,0,0
19999989225,-89.8730239868164,0,0,0
19999989250,-91.5790481567383,0,0,0
19999989275,-93.8154754638672,0,0,0
19999989300,-96.5261688232422,0,0,0
19999989325,-102.212028503418,0,0,0
19999989350,-104.45401763916,0,0,0
19999989375,-98.8751983642578,0,0,0
19999989400,-95.6520004272461,0,0,0
19999989425,-95.6127624511719,0,0,0
19999989450,-94.8132629394531,0,0,0
19999989475,-92.8856430053711,0,0,0
19999989500,-93.7577819824219,0,0,0
19999989525,-101.654670715332,0,0,0
19999989550,-100.905174255371,0,0,0
19999989575,-96.2265167236328,0,0,0
19999989600,-91.6664428710938,0,0,0
19999989625,-87.9629135131836,0,0,0
19999989650,-85.860481262207,0,0,0
19999989675,-85.6728668212891,0,0,0
19999989700,-87.3417816162109,0,0,0
19999989725,-89.6614990234375,0,0,0
19999989750,-92.3540115356445,0,0,0
19999989775,-96.8865814208984,0,0,0
19999989800,-102.931373596191,0,0,0
19999989825,-104.844139099121,0,0,0
19999989850,-103.050399780273,0,0,0
19999989875,-111.395263671875,0,0,0
19999989900,-103.493019104004,0,0,0
19999989925,-94.0571136474609,0,0,0
19999989950,-92.5797805786133,0,0,0
