Freq,Power,na,na,na
19499987500,-67.0160827636719,0,0,0
19499987512.5,-69.0075302124023,0,0,0
19499987525,-74.8194885253906,0,0,0
19499987537.5,-84.7023239135742,0,0,0
19499987550,-87.2655715942383,0,0,0
19499987562.5,-81.4820327758789,0,0,0
19499987575,-82.5703659057617,0,0,0
19499987587.5,-89.5426254272461,0,0,0
19499987600,-85.3644866943359,0,0,0
19499987612.5,-80.3907318115234,0,0,0
19499987625,-68.2193908691406,0,0,0
19499987637.5,-62.4167556762695,0,0,0
19499987650,-61.3115768432617,0,0,0
19499987662.5,-64.7893600463867,0,0,0
19499987675,-72.1767425537109,0,0,0
19499987687.5,-81.8859558105469,0,0,0
19499987700,-89.176399230957,0,0,0
19499987712.5,-89.5866851806641,0,0,0
19499987725,-90.8588638305664,0,0,0
19499987737.5,-90.798469543457,0,0,0
19499987750,-84.8042831420898,0,0,0
19499987762.5,-78.7000350952148,0,0,0
19499987775,-74.0899658203125,0,0,0
19499987787.5,-72.6996231079102,0,0,0
19499987800,-75.6795883178711,0,0,0
19499987812.5,-82.1408233642578,0,0,0
19499987825,-85.1659927368164,0,0,0
19499987837.5,-82.9394760131836,0,0,0
19499987850,-82.3626022338867,0,0,0
19499987862.5,-83.3640594482422,0,0,0
19499987875,-85.7969207763672,0,0,0
19499987887.5,-95.1315231323242,0,0,0
19499987900,-92.8764343261719,0,0,0
19499987912.5,-90.9084701538086,0,0,0
19499987925,-83.1169815063477,0,0,0
19499987937.5,-77.7461166381836,0,0,0
19499987950,-76.2511444091797,0,0,0
19499987962.5,-77.0137481689453,0,0,0
19499987975,-78.4544525146484,0,0,0
19499987987.5,-79.6626281738281,0,0,0
19499988000,-80.377685546875,0,0,0
19499988012.5,-80.2791442871094,0,0,0
19499988025,-80.0241012573242,0,0,0
19499988037.5,-79.9417953491211,0,0,0
19499988050,-76.0046615600586,0,0,0
19499988062.5,-70.5618438720703,0,0,0
19499988075,-67.9728927612305,0,0,0
19499988087.5,-69.4329452514648,0,0,0
19499988100,-75.9923095703125,0,0,0
19499988112.5,-80.2277984619141,0,0,0
19499988125,-78.9843368530273,0,0,0
19499988137.5,-81.8130264282227,0,0,0
19499988150,-83.799446105957,0,0,0
19499988162.5,-84.4250869750977,0,0,0
19499988175,-86.7357864379883,0,0,0
19499988187.5,-79.9208374023438,0,0,0
19499988200,-67.2163925170898,0,0,0
19499988212.5,-61.4479331970215,0,0,0
19499988225,-59.8490791320801,0,0,0
19499988237.5,-62.2504997253418,0,0,0
19499988250,-68.6450653076172,0,0,0
19499988262.5,-77.9757919311523,0,0,0
19499988275,-84.1965789794922,0,0,0
