Freq,Power,na,na,na
18499987500,-97.1326141357422,0,0,0
18499987512.5,-97.4582824707031,0,0,0
18499987525,-102.082969665527,0,0,0
18499987537.5,-100.850189208984,0,0,0
18499987550,-95.2590255737305,0,0,0
18499987562.5,-93.2423324584961,0,0,0
18499987575,-94.1554489135742,0,0,0
18499987587.5,-96.9474182128906,0,0,0
18499987600,-100.471893310547,0,0,0
18499987612.5,-101.97412109375,0,0,0
18499987625,-99.9544296264648,0,0,0
18499987637.5,-97.1354675292969,0,0,0
18499987650,-95.8424530029297,0,0,0
18499987662.5,-96.871223449707,0,0,0
18499987675,-95.3580551147461,0,0,0
18499987687.5,-93.0367813110352,0,0,0
18499987700,-93.818977355957,0,0,0
18499987712.5,-96.2532806396484,0,0,0
18499987725,-98.8622436523438,0,0,0
18499987737.5,-100.236061096191,0,0,0
18499987750,-100.13468170166,0,0,0
18499987762.5,-99.4713821411133,0,0,0
18499987775,-98.1176834106445,0,0,0
18499987787.5,-96.4763641357422,0,0,0
18499987800,-96.0546875,0,0,0
18499987812.5,-98.6011734008789,0,0,0
18499987825,-101.137542724609,0,0,0
18499987837.5,-100.866050720215,0,0,0
18499987850,-99.1465682983398,0,0,0
18499987862.5,-98.5987930297852,0,0,0
18499987875,-102.915756225586,0,0,0
18499987887.5,-117.780792236328,0,0,0
18499987900,-109.306182861328,0,0,0
18499987912.5,-104.487907409668,0,0,0
18499987925,-102.021919250488,0,0,0
18499987937.5,-101.091896057129,0,0,0
18499987950,-105.219802856445,0,0,0
18499987962.5,-103.171653747559,0,0,0
18499987975,-98.1878433227539,0,0,0
18499987987.5,-99.9776611328125,0,0,0
18499988000,-104.723297119141,0,0,0
18499988012.5,-109.843734741211,0,0,0
18499988025,-107.499382019043,0,0,0
18499988037.5,-100.695381164551,0,0,0
18499988050,-102.516242980957,0,0,0
18499988062.5,-111.120567321777,0,0,0
18499988075,-111.455413818359,0,0,0
18499988087.5,-103.338119506836,0,0,0
18499988100,-97.7255935668945,0,0,0
18499988112.5,-95.0995254516602,0,0,0
18499988125,-94.1222076416016,0,0,0
18499988137.5,-93.8462829589844,0,0,0
18499988150,-94.234992980957,0,0,0
18499988162.5,-94.7955780029297,0,0,0
18499988175,-94.2209014892578,0,0,0
18499988187.5,-94.3544769287109,0,0,0
18499988200,-96.1178207397461,0,0,0
18499988212.5,-111.234062194824,0,0,0
18499988225,-110.087409973145,0,0,0
18499988237.5,-95.4513473510742,0,0,0
18499988250,-94.463623046875,0,0,0
18499988262.5,-97.1249694824219,0,0,0
18499988275,-101.927581787109,0,0,0
18499988287.5,-102.02759552002,0,0,0
18499988300,-100.06761932373,0,0,0
18499988312.5,-98.7871704101563,0,0,0
18499988325,-94.9235076904297,0,0,0
18499988337.5,-93.6875381469727,0,0,0
18499988350,-97.7613830566406,0,0,0
18499988362.5,-106.538124084473,0,0,0
18499988375,-109.72386932373,0,0,0
18499988387.5,-100.19930267334,0,0,0
18499988400,-95.1353073120117,0,0,0
18499988412.5,-93.3915023803711,0,0,0
18499988425,-95.9339904785156,0,0,0
18499988437.5,-108.950691223145,0,0,0
18499988450,-99.4331512451172,0,0,0
18499988462.5,-93.2015380859375,0,0,0
18499988475,-95.1199493408203,0,0,0
18499988487.5,-109.103080749512,0,0,0
18499988500,-101.110198974609,0,0,0
18499988512.5,-96.061637878418,0,0,0
18499988525,-97.0366058349609,0,0,0
18499988537.5,-101.540245056152,0,0,0
18499988550,-106.731910705566,0,0,0
18499988562.5,-103.448608398437,0,0,0
18499988575,-99.7660598754883,0,0,0
18499988587.5,-98.7276229858398,0,0,0
18499988600,-99.7949066162109,0,0,0
18499988612.5,-98.9246292114258,0,0,0
18499988625,-98.4385147094727,0,0,0
18499988637.5,-101.236488342285,0,0,0
18499988650,-108.131080627441,0,0,0
18499988662.5,-98.6549758911133,0,0,0
18499988675,-95.1676712036133,0,0,0
18499988687.5,-97.469123840332,0,0,0
18499988700,-101.673645019531,0,0,0
18499988712.5,-97.8412704467773,0,0,0
18499988725,-95.2885131835938,0,0,0
18499988737.5,-95.6357421875,0,0,0
18499988750,-98.261474609375,0,0,0
18499988762.5,-104.034736633301,0,0,0
18499988775,-107.74259185791,0,0,0
18499988787.5,-102.27978515625,0,0,0
18499988800,-95.4862060546875,0,0,0
18499988812.5,-93.6164932250977,0,0,0
18499988825,-94.6470718383789,0,0,0
18499988837.5,-94.4821472167969,0,0,0
18499988850,-95.386589050293,0,0,0
18499988862.5,-99.5415344238281,0,0,0
18499988875,-97.738151550293,0,0,0
18499988887.5,-95.7526626586914,0,0,0
18499988900,-100.011131286621,0,0,0
18499988912.5,-107.897453308105,0,0,0
18499988925,-101.779861450195,0,0,0
18499988937.5,-100.200103759766,0,0,0
18499988950,-98.814453125,0,0,0
18499988962.5,-96.7623291015625,0,0,0
18499988975,-96.2791595458984,0,0,0
18499988987.5,-96.5600280761719,0,0,0
18499989000,-94.1343154907227,0,0,0
18499989012.5,-94.6522674560547,0,0,0
18499989025,-97.87646484375,0,0,0
18499989037.5,-99.6953201293945,0,0,0
18499989050,-100.038154602051,0,0,0
18499989062.5,-97.0800476074219,0,0,0
18499989075,-95.4614868164063,0,0,0
18499989087.5,-98.107307434082,0,0,0
18499989100,-107.905708312988,0,0,0
18499989112.5,-118.523040771484,0,0,0
18499989125,-96.0809097290039,0,0,0
18499989137.5,-91.7786102294922,0,0,0
18499989150,-91.1018371582031,0,0,0
18499989162.5,-96.316032409668,0,0,0
18499989175,-108.678924560547,0,0,0
18499989187.5,-110.692939758301,0,0,0
18499989200,-102.267974853516,0,0,0
18499989212.5,-97.4581069946289,0,0,0
18499989225,-102.043159484863,0,0,0
18499989237.5,-101.934356689453,0,0,0
18499989250,-97.5891342163086,0,0,0
18499989262.5,-101.454238891602,0,0,0
18499989275,-110.902397155762,0,0,0
18499989287.5,-99.9147338867188,0,0,0
18499989300,-96.9913787841797,0,0,0
18499989312.5,-93.9313735961914,0,0,0
18499989325,-93.1212539672852,0,0,0
18499989337.5,-94.8584213256836,0,0,0
18499989350,-95.9245071411133,0,0,0
18499989362.5,-98.159912109375,0,0,0
18499989375,-103.93928527832,0,0,0
18499989387.5,-103.654052734375,0,0,0
18499989400,-96.8126373291016,0,0,0
18499989412.5,-92.74462890625,0,0,0
18499989425,-92.0487747192383,0,0,0
18499989437.5,-91.5039138793945,0,0,0
18499989450,-90.3055648803711,0,0,0
18499989462.5,-90.8722076416016,0,0,0
18499989475,-94.8658142089844,0,0,0
18499989487.5,-100.054756164551,0,0,0
18499989500,-97.2059326171875,0,0,0
18499989512.5,-92.3609008789062,0,0,0
18499989525,-93.3348159790039,0,0,0
18499989537.5,-99.0691986083984,0,0,0
18499989550,-110.941917419434,0,0,0
18499989562.5,-107.60147857666,0,0,0
18499989575,-104.185287475586,0,0,0
18499989587.5,-108.604125976562,0,0,0
18499989600,-99.7373275756836,0,0,0
18499989612.5,-95.2700424194336,0,0,0
18499989625,-94.7524642944336,0,0,0
18499989637.5,-97.2036361694336,0,0,0
18499989650,-100.303756713867,0,0,0
18499989662.5,-101.30525970459,0,0,0
18499989675,-103.030822753906,0,0,0
18499989687.5,-106.20556640625,0,0,0
18499989700,-98.5515441894531,0,0,0
18499989712.5,-92.3255462646484,0,0,0
18499989725,-93.1615829467773,0,0,0
18499989737.5,-97.1249313354492,0,0,0
18499989750,-101.247787475586,0,0,0
18499989762.5,-104.182357788086,0,0,0
18499989775,-106.533737182617,0,0,0
18499989787.5,-101.574256896973,0,0,0
18499989800,-94.4794921875,0,0,0
18499989812.5,-91.1376571655273,0,0,0
18499989825,-91.7214202880859,0,0,0
18499989837.5,-94.0843963623047,0,0,0
18499989850,-96.7224426269531,0,0,0
18499989862.5,-98.2259368896484,0,0,0
18499989875,-97.589241027832,0,0,0
18499989887.5,-93.325080871582,0,0,0
18499989900,-88.5543212890625,0,0,0
18499989912.5,-86.3626174926758,0,0,0
18499989925,-87.2115097045898,0,0,0
18499989937.5,-91.0035400390625,0,0,0
18499989950,-97.0897064208984,0,0,0
18499989962.5,-115.354568481445,0,0,0
18499989975,-87.4205932617188,0,0,0
18499989987.5,-72.4477005004883,0,0,0
18499990000,-65.0945739746094,0,0,0
18499990012.5,-62.3359298706055,0,0,0
18499990025,-63.8562469482422,0,0,0
18499990037.5,-69.7070388793945,0,0,0
18499990050,-81.0771789550781,0,0,0
18499990062.5,-96.2644729614258,0,0,0
18499990075,-103.021415710449,0,0,0
18499990087.5,-98.6588287353516,0,0,0
18499990100,-92.2426147460938,0,0,0
18499990112.5,-90.7640914916992,0,0,0
18499990125,-96.7852020263672,0,0,0
18499990137.5,-100.847511291504,0,0,0
18499990150,-96.7824859619141,0,0,0
18499990162.5,-95.6023025512695,0,0,0
18499990175,-96.1545486450195,0,0,0
18499990187.5,-95.2737274169922,0,0,0
18499990200,-92.7661590576172,0,0,0
18499990212.5,-91.0111389160156,0,0,0
18499990225,-91.5897064208984,0,0,0
18499990237.5,-93.8279876708984,0,0,0
18499990250,-96.0565414428711,0,0,0
18499990262.5,-98.9411392211914,0,0,0
18499990275,-102.295211791992,0,0,0
18499990287.5,-100.077217102051,0,0,0
18499990300,-94.3478317260742,0,0,0
18499990312.5,-91.9838943481445,0,0,0
18499990325,-94.9830856323242,0,0,0
18499990337.5,-101.930366516113,0,0,0
18499990350,-99.7525329589844,0,0,0
18499990362.5,-94.6525039672852,0,0,0
18499990375,-93.1945724487305,0,0,0
18499990387.5,-95.8494110107422,0,0,0
18499990400,-95.4730911254883,0,0,0
18499990412.5,-91.8035278320313,0,0,0
18499990425,-94.5979385375977,0,0,0
18499990437.5,-101.646263122559,0,0,0
18499990450,-100.482124328613,0,0,0
18499990462.5,-98.4573287963867,0,0,0
18499990475,-101.348640441895,0,0,0
18499990487.5,-99.666748046875,0,0,0
18499990500,-94.4040603637695,0,0,0
18499990512.5,-91.3416976928711,0,0,0
18499990525,-92.6787796020508,0,0,0
18499990537.5,-96.3415985107422,0,0,0
18499990550,-94.7120895385742,0,0,0
18499990562.5,-90.9143295288086,0,0,0
18499990575,-88.8816299438477,0,0,0
18499990587.5,-88.7898330688477,0,0,0
18499990600,-89.690315246582,0,0,0
18499990612.5,-90.5141830444336,0,0,0
18499990625,-91.7949371337891,0,0,0
18499990637.5,-93.0029449462891,0,0,0
18499990650,-93.572883605957,0,0,0
18499990662.5,-93.9999160766602,0,0,0
18499990675,-95.6010208129883,0,0,0
18499990687.5,-98.3432769775391,0,0,0
18499990700,-96.2825469970703,0,0,0
18499990712.5,-94.0924072265625,0,0,0
18499990725,-97.1415710449219,0,0,0
18499990737.5,-111.586860656738,0,0,0
18499990750,-99.6646194458008,0,0,0
18499990762.5,-98.0277786254883,0,0,0
18499990775,-102.881080627441,0,0,0
18499990787.5,-109.576019287109,0,0,0
18499990800,-99.1168975830078,0,0,0
18499990812.5,-94.6934814453125,0,0,0
18499990825,-95.28759765625,0,0,0
18499990837.5,-99.9283676147461,0,0,0
18499990850,-112.585830688477,0,0,0
18499990862.5,-109.166809082031,0,0,0
18499990875,-97.4123229980469,0,0,0
18499990887.5,-95.0277709960938,0,0,0
18499990900,-98.2848587036133,0,0,0
18499990912.5,-99.9394683837891,0,0,0
18499990925,-98.4496536254883,0,0,0
18499990937.5,-99.033576965332,0,0,0
18499990950,-103.264533996582,0,0,0
18499990962.5,-114.530349731445,0,0,0
18499990975,-113.065635681152,0,0,0
18499990987.5,-108.441909790039,0,0,0
