Freq,Power,na,na,na
18999985500,-106.320159912109,0,0,0
18999985512.5,-99.9528656005859,0,0,0
18999985525,-98.6974563598633,0,0,0
18999985537.5,-101.153289794922,0,0,0
18999985550,-103.312522888184,0,0,0
18999985562.5,-102.499862670898,0,0,0
18999985575,-101.71174621582,0,0,0
18999985587.5,-99.8066711425781,0,0,0
18999985600,-97.206169128418,0,0,0
18999985612.5,-95.1828689575195,0,0,0
18999985625,-94.6130981445312,0,0,0
18999985637.5,-96.0484390258789,0,0,0
18999985650,-97.0801849365234,0,0,0
18999985662.5,-96.5494003295898,0,0,0
18999985675,-96.8914489746094,0,0,0
18999985687.5,-98.0477905273438,0,0,0
18999985700,-100.425842285156,0,0,0
18999985712.5,-104.930770874023,0,0,0
18999985725,-118.238822937012,0,0,0
18999985737.5,-108.481430053711,0,0,0
18999985750,-101.605598449707,0,0,0
18999985762.5,-102.329154968262,0,0,0
18999985775,-106.066444396973,0,0,0
18999985787.5,-106.631462097168,0,0,0
18999985800,-109.909469604492,0,0,0
18999985812.5,-109.368896484375,0,0,0
18999985825,-100.115608215332,0,0,0
18999985837.5,-99.064338684082,0,0,0
18999985850,-96.1863327026367,0,0,0
18999985862.5,-91.6291732788086,0,0,0
18999985875,-88.7469177246094,0,0,0
18999985887.5,-88.1025009155273,0,0,0
18999985900,-89.4982147216797,0,0,0
18999985912.5,-91.4746322631836,0,0,0
18999985925,-92.2876892089844,0,0,0
18999985937.5,-92.4940872192383,0,0,0
18999985950,-92.5101699829102,0,0,0
18999985962.5,-91.8654174804688,0,0,0
18999985975,-91.5194549560547,0,0,0
18999985987.5,-93.1841583251953,0,0,0
18999986000,-92.6610107421875,0,0,0
18999986012.5,-88.7225646972656,0,0,0
18999986025,-86.8469619750977,0,0,0
18999986037.5,-87.9433746337891,0,0,0
18999986050,-91.2573623657227,0,0,0
18999986062.5,-93.3388977050781,0,0,0
18999986075,-92.2825546264648,0,0,0
18999986087.5,-91.320442199707,0,0,0
18999986100,-92.0223388671875,0,0,0
18999986112.5,-94.1780166625977,0,0,0
18999986125,-98.4083786010742,0,0,0
18999986137.5,-107.35563659668,0,0,0
18999986150,-107.842666625977,0,0,0
18999986162.5,-99.0437316894531,0,0,0
18999986175,-98.4698867797852,0,0,0
18999986187.5,-106.307991027832,0,0,0
18999986200,-112.010429382324,0,0,0
18999986212.5,-104.351577758789,0,0,0
18999986225,-100.363594055176,0,0,0
18999986237.5,-98.9333648681641,0,0,0
18999986250,-100.280212402344,0,0,0
18999986262.5,-103.956115722656,0,0,0
18999986275,-100.890907287598,0,0,0
18999986287.5,-98.2004852294922,0,0,0
18999986300,-100.264114379883,0,0,0
18999986312.5,-110.918670654297,0,0,0
18999986325,-106.92618560791,0,0,0
18999986337.5,-100.169876098633,0,0,0
18999986350,-98.3477630615234,0,0,0
18999986362.5,-99.2832794189453,0,0,0
18999986375,-103.589241027832,0,0,0
18999986387.5,-108.317985534668,0,0,0
18999986400,-106.543251037598,0,0,0
18999986412.5,-103.138427734375,0,0,0
18999986425,-101.426849365234,0,0,0
18999986437.5,-100.775863647461,0,0,0
18999986450,-101.804130554199,0,0,0
18999986462.5,-103.638877868652,0,0,0
18999986475,-101.48705291748,0,0,0
18999986487.5,-98.4372863769531,0,0,0
18999986500,-97.1406860351563,0,0,0
18999986512.5,-98.0854873657227,0,0,0
18999986525,-100.113998413086,0,0,0
18999986537.5,-103.94263458252,0,0,0
18999986550,-106.015411376953,0,0,0
18999986562.5,-99.635612487793,0,0,0
18999986575,-92.7867660522461,0,0,0
18999986587.5,-88.3531188964844,0,0,0
18999986600,-87.2641830444336,0,0,0
18999986612.5,-89.8531799316406,0,0,0
18999986625,-95.0242309570313,0,0,0
18999986637.5,-101.042831420898,0,0,0
18999986650,-105.186721801758,0,0,0
18999986662.5,-103.321151733398,0,0,0
18999986675,-99.6469802856445,0,0,0
18999986687.5,-96.5539779663086,0,0,0
18999986700,-94.2934722900391,0,0,0
18999986712.5,-93.5586318969727,0,0,0
18999986725,-94.0348434448242,0,0,0
18999986737.5,-94.1555252075195,0,0,0
18999986750,-93.5810317993164,0,0,0
18999986762.5,-95.4654846191406,0,0,0
18999986775,-103.825500488281,0,0,0
18999986787.5,-107.070098876953,0,0,0
18999986800,-102.998764038086,0,0,0
18999986812.5,-101.340995788574,0,0,0
18999986825,-99.9395141601563,0,0,0
18999986837.5,-97.6141052246094,0,0,0
18999986850,-95.0212326049805,0,0,0
18999986862.5,-94.29052734375,0,0,0
18999986875,-98.4831390380859,0,0,0
18999986887.5,-110.834518432617,0,0,0
18999986900,-104.076210021973,0,0,0
18999986912.5,-97.9056854248047,0,0,0
18999986925,-96.1745910644531,0,0,0
18999986937.5,-96.9286041259766,0,0,0
18999986950,-98.0959777832031,0,0,0
18999986962.5,-99.22607421875,0,0,0
18999986975,-107.823791503906,0,0,0
18999986987.5,-105.928108215332,0,0,0
18999987000,-96.5405654907227,0,0,0
18999987012.5,-94.3497161865234,0,0,0
18999987025,-96.4462127685547,0,0,0
18999987037.5,-99.6424713134766,0,0,0
18999987050,-102.495277404785,0,0,0
18999987062.5,-106.432426452637,0,0,0
18999987075,-116.805313110352,0,0,0
18999987087.5,-110.823165893555,0,0,0
18999987100,-102.621299743652,0,0,0
18999987112.5,-99.2826156616211,0,0,0
18999987125,-95.3237380981445,0,0,0
18999987137.5,-90.1576232910156,0,0,0
18999987150,-87.8442459106445,0,0,0
18999987162.5,-90.2592926025391,0,0,0
18999987175,-97.458122253418,0,0,0
18999987187.5,-101.367851257324,0,0,0
18999987200,-98.7980041503906,0,0,0
18999987212.5,-95.2757949829102,0,0,0
18999987225,-94.1593475341797,0,0,0
18999987237.5,-95.9390335083008,0,0,0
18999987250,-101.730751037598,0,0,0
18999987262.5,-98.594596862793,0,0,0
18999987275,-93.5350875854492,0,0,0
18999987287.5,-94.3542709350586,0,0,0
18999987300,-98.8131484985352,0,0,0
18999987312.5,-100.944564819336,0,0,0
18999987325,-101.844688415527,0,0,0
18999987337.5,-107.638603210449,0,0,0
18999987350,-121.537620544434,0,0,0
18999987362.5,-115.511711120605,0,0,0
18999987375,-103.972534179687,0,0,0
18999987387.5,-102.108039855957,0,0,0
18999987400,-103.491874694824,0,0,0
18999987412.5,-102.97021484375,0,0,0
18999987425,-99.5021362304688,0,0,0
18999987437.5,-98.6190490722656,0,0,0
18999987450,-102.701271057129,0,0,0
18999987462.5,-110.816429138184,0,0,0
18999987475,-105.012283325195,0,0,0
18999987487.5,-98.9355621337891,0,0,0
18999987500,-98.0508804321289,0,0,0
18999987512.5,-99.8196640014648,0,0,0
18999987525,-97.5793533325195,0,0,0
18999987537.5,-95.0727691650391,0,0,0
18999987550,-97.1997909545898,0,0,0
18999987562.5,-102.335960388184,0,0,0
18999987575,-100.600402832031,0,0,0
18999987587.5,-96.9911575317383,0,0,0
18999987600,-93.6629791259766,0,0,0
18999987612.5,-89.7657089233398,0,0,0
18999987625,-86.7543640136719,0,0,0
18999987637.5,-87.2505798339844,0,0,0
18999987650,-91.1432571411133,0,0,0
18999987662.5,-105.751396179199,0,0,0
18999987675,-130.933776855469,0,0,0
18999987687.5,-89.7395706176758,0,0,0
18999987700,-85.5006408691406,0,0,0
18999987712.5,-83.7226867675781,0,0,0
18999987725,-85.8067092895508,0,0,0
18999987737.5,-91.5408172607422,0,0,0
18999987750,-97.7097244262695,0,0,0
18999987762.5,-98.632942199707,0,0,0
18999987775,-96.3403625488281,0,0,0
18999987787.5,-95.3665237426758,0,0,0
18999987800,-97.8220138549805,0,0,0
18999987812.5,-103.388717651367,0,0,0
18999987825,-101.410140991211,0,0,0
18999987837.5,-99.8655853271484,0,0,0
18999987850,-104.058364868164,0,0,0
18999987862.5,-96.573356628418,0,0,0
18999987875,-91.7548675537109,0,0,0
18999987887.5,-91.3462982177734,0,0,0
18999987900,-95.4126205444336,0,0,0
18999987912.5,-104.741119384766,0,0,0
18999987925,-101.570610046387,0,0,0
18999987937.5,-94.5138702392578,0,0,0
18999987950,-95.1219787597656,0,0,0
18999987962.5,-99.0535125732422,0,0,0
18999987975,-99.3313598632813,0,0,0
18999987987.5,-95.539909362793,0,0,0
18999988000,-94.5130844116211,0,0,0
18999988012.5,-95.6057815551758,0,0,0
18999988025,-95.7249374389648,0,0,0
18999988037.5,-94.9344329833984,0,0,0
18999988050,-95.9574279785156,0,0,0
18999988062.5,-105.641738891602,0,0,0
18999988075,-111.674186706543,0,0,0
18999988087.5,-96.3132171630859,0,0,0
18999988100,-103.576789855957,0,0,0
18999988112.5,-101.66170501709,0,0,0
18999988125,-93.0933303833008,0,0,0
18999988137.5,-91.7348937988281,0,0,0
18999988150,-96.0066757202148,0,0,0
18999988162.5,-104.333038330078,0,0,0
18999988175,-93.4409484863281,0,0,0
18999988187.5,-89.7403945922852,0,0,0
18999988200,-91.1351318359375,0,0,0
18999988212.5,-95.583869934082,0,0,0
18999988225,-98.1630249023438,0,0,0
18999988237.5,-97.9960403442383,0,0,0
18999988250,-95.36474609375,0,0,0
18999988262.5,-90.7825927734375,0,0,0
18999988275,-88.9881744384766,0,0,0
18999988287.5,-89.548583984375,0,0,0
18999988300,-91.2815628051758,0,0,0
18999988312.5,-93.5484237670898,0,0,0
18999988325,-95.6818466186523,0,0,0
18999988337.5,-96.0908813476563,0,0,0
18999988350,-93.8361053466797,0,0,0
18999988362.5,-91.9336318969727,0,0,0
18999988375,-90.9060745239258,0,0,0
18999988387.5,-91.2714614868164,0,0,0
18999988400,-93.5813446044922,0,0,0
18999988412.5,-96.7256546020508,0,0,0
18999988425,-97.2789535522461,0,0,0
18999988437.5,-94.9997787475586,0,0,0
18999988450,-93.8826370239258,0,0,0
18999988462.5,-93.8231735229492,0,0,0
18999988475,-90.9909286499023,0,0,0
18999988487.5,-86.4396438598633,0,0,0
18999988500,-83.1869049072266,0,0,0
18999988512.5,-82.5484008789063,0,0,0
18999988525,-85.4790496826172,0,0,0
18999988537.5,-90.8570175170898,0,0,0
18999988550,-96.4740295410156,0,0,0
18999988562.5,-93.8170852661133,0,0,0
18999988575,-89.3672637939453,0,0,0
18999988587.5,-88.4553909301758,0,0,0
18999988600,-90.6874618530273,0,0,0
18999988612.5,-94.2169799804688,0,0,0
18999988625,-96.3991851806641,0,0,0
18999988637.5,-95.7950439453125,0,0,0
18999988650,-94.1862564086914,0,0,0
18999988662.5,-95.9526443481445,0,0,0
18999988675,-96.8422546386719,0,0,0
18999988687.5,-93.1430816650391,0,0,0
18999988700,-95.1718826293945,0,0,0
18999988712.5,-100.122604370117,0,0,0
18999988725,-94.7666778564453,0,0,0
18999988737.5,-93.3786468505859,0,0,0
18999988750,-95.7396545410156,0,0,0
18999988762.5,-91.8880386352539,0,0,0
18999988775,-89.4509963989258,0,0,0
18999988787.5,-89.084098815918,0,0,0
18999988800,-88.2020416259766,0,0,0
18999988812.5,-85.0500793457031,0,0,0
18999988825,-82.171516418457,0,0,0
18999988837.5,-81.6166534423828,0,0,0
18999988850,-84.8313903808594,0,0,0
18999988862.5,-90.7331237792969,0,0,0
18999988875,-95.8135299682617,0,0,0
18999988887.5,-96.8582229614258,0,0,0
18999988900,-98.6994476318359,0,0,0
18999988912.5,-100.775947570801,0,0,0
18999988925,-100.393898010254,0,0,0
18999988937.5,-102.387794494629,0,0,0
18999988950,-106.47078704834,0,0,0
18999988962.5,-104.155792236328,0,0,0
18999988975,-96.0595932006836,0,0,0
18999988987.5,-91.23046875,0,0,0
18999989000,-90.5214614868164,0,0,0
18999989012.5,-94.4146423339844,0,0,0
18999989025,-98.6886291503906,0,0,0
18999989037.5,-99.0268936157227,0,0,0
18999989050,-95.6703262329102,0,0,0
18999989062.5,-91.6355285644531,0,0,0
18999989075,-88.5191650390625,0,0,0
18999989087.5,-87.2790298461914,0,0,0
18999989100,-88.6483688354492,0,0,0
18999989112.5,-93.1154556274414,0,0,0
18999989125,-100.953544616699,0,0,0
18999989137.5,-108.462844848633,0,0,0
18999989150,-104.118644714355,0,0,0
18999989162.5,-96.7117309570313,0,0,0
18999989175,-91.7885208129883,0,0,0
18999989187.5,-89.0551681518555,0,0,0
18999989200,-90.109748840332,0,0,0
18999989212.5,-95.5690307617188,0,0,0
18999989225,-100.163558959961,0,0,0
18999989237.5,-101.060920715332,0,0,0
18999989250,-103.046936035156,0,0,0
18999989262.5,-101.081260681152,0,0,0
18999989275,-94.6418228149414,0,0,0
18999989287.5,-89.8093795776367,0,0,0
18999989300,-88.7638702392578,0,0,0
18999989312.5,-90.6625137329102,0,0,0
18999989325,-95.2130966186523,0,0,0
18999989337.5,-108.150756835937,0,0,0
18999989350,-78.3155059814453,0,0,0
18999989362.5,-66.0389556884766,0,0,0
18999989375,-58.5706825256348,0,0,0
18999989387.5,-55.3267784118652,0,0,0
18999989400,-56.4440422058105,0,0,0
18999989412.5,-61.708740234375,0,0,0
18999989425,-72.0763931274414,0,0,0
18999989437.5,-84.418212890625,0,0,0
18999989450,-88.0036849975586,0,0,0
18999989462.5,-87.3458786010742,0,0,0
18999989475,-86.4958190917969,0,0,0
18999989487.5,-86.53955078125,0,0,0
18999989500,-89.5475997924805,0,0,0
18999989512.5,-96.6821136474609,0,0,0
18999989525,-98.5729446411133,0,0,0
18999989537.5,-99.4927139282227,0,0,0
18999989550,-102.193153381348,0,0,0
18999989562.5,-96.6640014648438,0,0,0
18999989575,-88.2271041870117,0,0,0
18999989587.5,-85.3695678710938,0,0,0
18999989600,-86.7663269042969,0,0,0
18999989612.5,-92.3482360839844,0,0,0
18999989625,-97.5881958007813,0,0,0
18999989637.5,-100.187522888184,0,0,0
18999989650,-99.4356536865234,0,0,0
18999989662.5,-94.3268203735352,0,0,0
18999989675,-90.0426940917969,0,0,0
18999989687.5,-88.2173461914063,0,0,0
18999989700,-89.1410369873047,0,0,0
18999989712.5,-92.0545654296875,0,0,0
18999989725,-95.4619522094727,0,0,0
18999989737.5,-97.9256057739258,0,0,0
18999989750,-98.3399505615234,0,0,0
18999989762.5,-94.8714065551758,0,0,0
18999989775,-90.5248947143555,0,0,0
18999989787.5,-89.0182037353516,0,0,0
18999989800,-91.1806488037109,0,0,0
18999989812.5,-95.7880935668945,0,0,0
18999989825,-99.5857009887695,0,0,0
18999989837.5,-115.356826782227,0,0,0
18999989850,-102.348335266113,0,0,0
18999989862.5,-96.1875991821289,0,0,0
18999989875,-93.4384613037109,0,0,0
18999989887.5,-90.4530792236328,0,0,0
18999989900,-89.7408218383789,0,0,0
18999989912.5,-92.4104843139648,0,0,0
18999989925,-91.5154037475586,0,0,0
18999989937.5,-85.214469909668,0,0,0
18999989950,-82.8355255126953,0,0,0
18999989962.5,-84.0455093383789,0,0,0
18999989975,-87.0847778320312,0,0,0
18999989987.5,-89.1361923217773,0,0,0
18999990000,-90.6532287597656,0,0,0
18999990012.5,-95.618034362793,0,0,0
18999990025,-100.775733947754,0,0,0
18999990037.5,-95.9978713989258,0,0,0
18999990050,-94.292610168457,0,0,0
18999990062.5,-98.8931732177734,0,0,0
18999990075,-94.9252471923828,0,0,0
18999990087.5,-89.4578094482422,0,0,0
18999990100,-89.9846496582031,0,0,0
18999990112.5,-93.6621932983398,0,0,0
18999990125,-98.1487045288086,0,0,0
18999990137.5,-98.893196105957,0,0,0
18999990150,-97.5553817749023,0,0,0
18999990162.5,-97.2835311889648,0,0,0
18999990175,-96.6009292602539,0,0,0
18999990187.5,-95.2153015136719,0,0,0
18999990200,-94.4719696044922,0,0,0
18999990212.5,-95.4549942016602,0,0,0
18999990225,-98.9770431518555,0,0,0
18999990237.5,-96.4755325317383,0,0,0
18999990250,-88.4620361328125,0,0,0
18999990262.5,-83.9320297241211,0,0,0
18999990275,-83.0132522583008,0,0,0
18999990287.5,-85.9054641723633,0,0,0
18999990300,-91.222526550293,0,0,0
18999990312.5,-96.7500457763672,0,0,0
18999990325,-101.036064147949,0,0,0
18999990337.5,-101.120666503906,0,0,0
18999990350,-98.9737243652344,0,0,0
18999990362.5,-98.6372451782227,0,0,0
18999990375,-95.2572937011719,0,0,0
18999990387.5,-91.3470306396484,0,0,0
18999990400,-90.619255065918,0,0,0
18999990412.5,-94.4821472167969,0,0,0
18999990425,-102.119804382324,0,0,0
18999990437.5,-102.223175048828,0,0,0
18999990450,-98.9177017211914,0,0,0
18999990462.5,-102.190765380859,0,0,0
18999990475,-108.945114135742,0,0,0
18999990487.5,-92.7777633666992,0,0,0
18999990500,-89.8775329589844,0,0,0
