Freq,Power,na,na,na
19499987500,-115.676200866699,0,0,0
19499987512.5,-118.876342773437,0,0,0
19499987525,-114.45703125,0,0,0
19499987537.5,-108.469718933105,0,0,0
19499987550,-102.997787475586,0,0,0
19499987562.5,-100.623344421387,0,0,0
19499987575,-99.7971725463867,0,0,0
19499987587.5,-99.258903503418,0,0,0
19499987600,-100.913795471191,0,0,0
19499987612.5,-104.649391174316,0,0,0
19499987625,-106.755020141602,0,0,0
19499987637.5,-113.842796325684,0,0,0
19499987650,-116.972702026367,0,0,0
19499987662.5,-105.783981323242,0,0,0
19499987675,-107.860481262207,0,0,0
19499987687.5,-111.680854797363,0,0,0
19499987700,-105.01195526123,0,0,0
19499987712.5,-113.403923034668,0,0,0
19499987725,-103.331336975098,0,0,0
19499987737.5,-97.5576248168945,0,0,0
19499987750,-98.3235778808594,0,0,0
19499987762.5,-99.9697723388672,0,0,0
19499987775,-103.640769958496,0,0,0
19499987787.5,-106.395698547363,0,0,0
19499987800,-102.753433227539,0,0,0
19499987812.5,-100.729637145996,0,0,0
19499987825,-101.558776855469,0,0,0
19499987837.5,-105.986656188965,0,0,0
19499987850,-106.856216430664,0,0,0
19499987862.5,-103.241561889648,0,0,0
19499987875,-104.135932922363,0,0,0
19499987887.5,-103.296546936035,0,0,0
19499987900,-99.6060943603516,0,0,0
19499987912.5,-98.3200607299805,0,0,0
19499987925,-102.018608093262,0,0,0
19499987937.5,-103.663307189941,0,0,0
19499987950,-100.282073974609,0,0,0
19499987962.5,-100.898178100586,0,0,0
19499987975,-104.793991088867,0,0,0
19499987987.5,-110.29793548584,0,0,0
19499988000,-105.310592651367,0,0,0
19499988012.5,-100.195854187012,0,0,0
19499988025,-102.576011657715,0,0,0
19499988037.5,-114.317581176758,0,0,0
19499988050,-111.809394836426,0,0,0
19499988062.5,-103.275672912598,0,0,0
19499988075,-99.827392578125,0,0,0
19499988087.5,-97.9392166137695,0,0,0
19499988100,-99.8088989257813,0,0,0
19499988112.5,-108.618629455566,0,0,0
19499988125,-104.094444274902,0,0,0
19499988137.5,-99.624382019043,0,0,0
19499988150,-98.4350051879883,0,0,0
19499988162.5,-98.2684555053711,0,0,0
19499988175,-99.7760543823242,0,0,0
19499988187.5,-104.576377868652,0,0,0
19499988200,-105.500267028809,0,0,0
19499988212.5,-97.7434005737305,0,0,0
19499988225,-94.9911422729492,0,0,0
19499988237.5,-95.5131607055664,0,0,0
19499988250,-94.4098129272461,0,0,0
19499988262.5,-91.5890197753906,0,0,0
19499988275,-89.9629669189453,0,0,0
19499988287.5,-89.7190704345703,0,0,0
19499988300,-90.2327194213867,0,0,0
19499988312.5,-91.0163269042969,0,0,0
19499988325,-91.6974258422852,0,0,0
19499988337.5,-91.9130859375,0,0,0
19499988350,-92.2191925048828,0,0,0
19499988362.5,-93.630256652832,0,0,0
19499988375,-96.3425521850586,0,0,0
19499988387.5,-103.797073364258,0,0,0
19499988400,-109.28572845459,0,0,0
19499988412.5,-102.279098510742,0,0,0
19499988425,-96.816764831543,0,0,0
19499988437.5,-94.5074920654297,0,0,0
19499988450,-94.8419723510742,0,0,0
19499988462.5,-98.245849609375,0,0,0
19499988475,-103.538703918457,0,0,0
19499988487.5,-102.365112304687,0,0,0
19499988500,-102.582061767578,0,0,0
19499988512.5,-103.299705505371,0,0,0
19499988525,-102.419860839844,0,0,0
19499988537.5,-107.056274414062,0,0,0
19499988550,-110.827545166016,0,0,0
19499988562.5,-99.2876052856445,0,0,0
19499988575,-100.181541442871,0,0,0
19499988587.5,-109.922691345215,0,0,0
19499988600,-112.074272155762,0,0,0
19499988612.5,-101.898109436035,0,0,0
19499988625,-96.9108734130859,0,0,0
19499988637.5,-96.3277206420898,0,0,0
19499988650,-100.879730224609,0,0,0
19499988662.5,-97.8921813964844,0,0,0
19499988675,-94.6986465454102,0,0,0
19499988687.5,-94.3217926025391,0,0,0
19499988700,-95.300407409668,0,0,0
19499988712.5,-96.1967010498047,0,0,0
19499988725,-96.2231369018555,0,0,0
19499988737.5,-96.5954742431641,0,0,0
19499988750,-99.1482238769531,0,0,0
19499988762.5,-108.45930480957,0,0,0
19499988775,-116.924537658691,0,0,0
19499988787.5,-108.674858093262,0,0,0
19499988800,-99.2542419433594,0,0,0
19499988812.5,-96.4920043945313,0,0,0
19499988825,-97.002197265625,0,0,0
19499988837.5,-98.3127593994141,0,0,0
19499988850,-97.0003204345703,0,0,0
19499988862.5,-93.9907379150391,0,0,0
19499988875,-92.3507995605469,0,0,0
19499988887.5,-91.6136474609375,0,0,0
19499988900,-91.926513671875,0,0,0
19499988912.5,-95.0161056518555,0,0,0
19499988925,-98.9889755249023,0,0,0
19499988937.5,-95.0939102172852,0,0,0
19499988950,-91.2478332519531,0,0,0
19499988962.5,-90.3080825805664,0,0,0
19499988975,-91.9770202636719,0,0,0
19499988987.5,-98.5301895141602,0,0,0
19499989000,-100.767883300781,0,0,0
19499989012.5,-96.9083709716797,0,0,0
19499989025,-95.9144134521484,0,0,0
19499989037.5,-99.7286758422852,0,0,0
19499989050,-101.679252624512,0,0,0
19499989062.5,-104.269432067871,0,0,0
19499989075,-104.323753356934,0,0,0
19499989087.5,-102.661735534668,0,0,0
19499989100,-103.465446472168,0,0,0
19499989112.5,-109.169158935547,0,0,0
19499989125,-110.172134399414,0,0,0
19499989137.5,-95.1450424194336,0,0,0
19499989150,-92.0208206176758,0,0,0
19499989162.5,-92.6852798461914,0,0,0
19499989175,-95.6420516967773,0,0,0
19499989187.5,-99.8418807983398,0,0,0
19499989200,-107.941017150879,0,0,0
19499989212.5,-104.081146240234,0,0,0
19499989225,-98.1622695922852,0,0,0
19499989237.5,-95.9852905273438,0,0,0
19499989250,-96.349250793457,0,0,0
19499989262.5,-96.2574005126953,0,0,0
19499989275,-95.8513336181641,0,0,0
19499989287.5,-96.763069152832,0,0,0
19499989300,-100.026214599609,0,0,0
19499989312.5,-104.155319213867,0,0,0
19499989325,-102.951042175293,0,0,0
19499989337.5,-100.765182495117,0,0,0
19499989350,-101.451782226562,0,0,0
19499989362.5,-102.247863769531,0,0,0
19499989375,-101.077964782715,0,0,0
19499989387.5,-100.468544006348,0,0,0
19499989400,-100.573585510254,0,0,0
19499989412.5,-98.6650009155273,0,0,0
19499989425,-96.9834518432617,0,0,0
19499989437.5,-99.8242797851563,0,0,0
19499989450,-112.288429260254,0,0,0
19499989462.5,-106.267921447754,0,0,0
19499989475,-108.191375732422,0,0,0
19499989487.5,-108.459609985352,0,0,0
19499989500,-102.976936340332,0,0,0
19499989512.5,-105.568244934082,0,0,0
19499989525,-105.213920593262,0,0,0
19499989537.5,-101.914108276367,0,0,0
19499989550,-117.050819396973,0,0,0
19499989562.5,-111.731262207031,0,0,0
19499989575,-106.431739807129,0,0,0
19499989587.5,-102.587028503418,0,0,0
19499989600,-97.6725006103516,0,0,0
19499989612.5,-96.1852798461914,0,0,0
19499989625,-96.7526779174805,0,0,0
19499989637.5,-97.3916168212891,0,0,0
19499989650,-97.5346374511719,0,0,0
19499989662.5,-97.6912384033203,0,0,0
19499989675,-97.7226104736328,0,0,0
19499989687.5,-98.079719543457,0,0,0
19499989700,-99.0378799438477,0,0,0
19499989712.5,-99.9791259765625,0,0,0
19499989725,-101.027893066406,0,0,0
19499989737.5,-122.457633972168,0,0,0
19499989750,-112.043952941895,0,0,0
19499989762.5,-101.141914367676,0,0,0
19499989775,-113.664131164551,0,0,0
19499989787.5,-101.117523193359,0,0,0
19499989800,-94.7817916870117,0,0,0
19499989812.5,-93.7057876586914,0,0,0
19499989825,-94.597282409668,0,0,0
19499989837.5,-96.3791732788086,0,0,0
19499989850,-99.3703994750977,0,0,0
19499989862.5,-99.4749603271484,0,0,0
19499989875,-95.1108703613281,0,0,0
19499989887.5,-93.9951477050781,0,0,0
19499989900,-96.3068084716797,0,0,0
19499989912.5,-101.896713256836,0,0,0
19499989925,-107.237518310547,0,0,0
19499989937.5,-106.062385559082,0,0,0
19499989950,-104.234268188477,0,0,0
19499989962.5,-109.169975280762,0,0,0
19499989975,-109.978607177734,0,0,0
19499989987.5,-109.359802246094,0,0,0
19499990000,-113.473411560059,0,0,0
19499990012.5,-107.518013000488,0,0,0
19499990025,-100.104461669922,0,0,0
19499990037.5,-98.925537109375,0,0,0
19499990050,-103.044364929199,0,0,0
19499990062.5,-103.210723876953,0,0,0
19499990075,-97.1210479736328,0,0,0
19499990087.5,-93.665397644043,0,0,0
19499990100,-92.7055511474609,0,0,0
19499990112.5,-94.8155899047852,0,0,0
19499990125,-99.4402084350586,0,0,0
19499990137.5,-97.6874465942383,0,0,0
19499990150,-93.3299789428711,0,0,0
19499990162.5,-91.865966796875,0,0,0
19499990175,-92.8548583984375,0,0,0
19499990187.5,-94.9763031005859,0,0,0
19499990200,-100.112457275391,0,0,0
