Freq,Power,na,na,na
19499985500,-103.915519714355,0,0,0
19499985512.5,-105.133193969727,0,0,0
19499985525,-101.271759033203,0,0,0
19499985537.5,-105.857925415039,0,0,0
19499985550,-104.986671447754,0,0,0
19499985562.5,-97.4196243286133,0,0,0
19499985575,-94.7907562255859,0,0,0
19499985587.5,-95.2549209594727,0,0,0
19499985600,-98.4887619018555,0,0,0
19499985612.5,-105.540084838867,0,0,0
19499985625,-108.908103942871,0,0,0
19499985637.5,-101.353286743164,0,0,0
19499985650,-97.5747146606445,0,0,0
19499985662.5,-96.5264892578125,0,0,0
19499985675,-98.1191482543945,0,0,0
19499985687.5,-103.251159667969,0,0,0
19499985700,-118.584754943848,0,0,0
19499985712.5,-115.459320068359,0,0,0
19499985725,-119.315406799316,0,0,0
19499985737.5,-120.277847290039,0,0,0
19499985750,-108.83349609375,0,0,0
19499985762.5,-103.115859985352,0,0,0
19499985775,-100.39616394043,0,0,0
19499985787.5,-101.859443664551,0,0,0
19499985800,-105.463111877441,0,0,0
19499985812.5,-103.704879760742,0,0,0
19499985825,-97.8472290039063,0,0,0
19499985837.5,-94.6429214477539,0,0,0
19499985850,-95.1692962646484,0,0,0
19499985862.5,-97.6628799438477,0,0,0
19499985875,-100.478912353516,0,0,0
19499985887.5,-101.652671813965,0,0,0
19499985900,-101.519355773926,0,0,0
19499985912.5,-101.257431030273,0,0,0
19499985925,-100.131568908691,0,0,0
19499985937.5,-99.6310272216797,0,0,0
19499985950,-100.677391052246,0,0,0
19499985962.5,-101.225479125977,0,0,0
19499985975,-101.052642822266,0,0,0
19499985987.5,-101.317337036133,0,0,0
19499986000,-100.854309082031,0,0,0
19499986012.5,-100.244194030762,0,0,0
19499986025,-102.023139953613,0,0,0
19499986037.5,-106.914108276367,0,0,0
19499986050,-105.427490234375,0,0,0
19499986062.5,-100.389518737793,0,0,0
19499986075,-99.3303527832031,0,0,0
19499986087.5,-106.444374084473,0,0,0
19499986100,-103.16641998291,0,0,0
19499986112.5,-96.2908935546875,0,0,0
19499986125,-94.8686294555664,0,0,0
19499986137.5,-96.8080444335938,0,0,0
19499986150,-98.7861480712891,0,0,0
19499986162.5,-97.1681747436523,0,0,0
19499986175,-95.2433090209961,0,0,0
19499986187.5,-96.234260559082,0,0,0
19499986200,-98.7570571899414,0,0,0
