Freq,Power,na,na,na
19499950000,-85.9852752685547,0,0,0
19499950250,-89.3590621948242,0,0,0
19499950500,-88.748893737793,0,0,0
19499950750,-88.1386795043945,0,0,0
19499951000,-88.5613861083984,0,0,0
19499951250,-88.3799057006836,0,0,0
19499951500,-87.2784881591797,0,0,0
19499951750,-85.7217483520508,0,0,0
19499952000,-86.3925704956055,0,0,0
19499952250,-89.9921951293945,0,0,0
19499952500,-99.9392471313477,0,0,0
19499952750,-92.4271850585937,0,0,0
19499953000,-86.8791580200195,0,0,0
19499953250,-85.5045394897461,0,0,0
19499953500,-85.2139129638672,0,0,0
19499953750,-85.5713958740234,0,0,0
19499954000,-86.6365203857422,0,0,0
19499954250,-87.9394836425781,0,0,0
19499954500,-88.4280090332031,0,0,0
19499954750,-87.7804183959961,0,0,0
19499955000,-86.025505065918,0,0,0
19499955250,-84.0726699829102,0,0,0
19499955500,-83.4147644042969,0,0,0
19499955750,-85.4115142822266,0,0,0
19499956000,-85.8786392211914,0,0,0
19499956250,-84.3756790161133,0,0,0
19499956500,-83.5469589233398,0,0,0
19499956750,-83.5575714111328,0,0,0
19499957000,-83.296501159668,0,0,0
19499957250,-82.5519409179688,0,0,0
19499957500,-82.2762603759766,0,0,0
19499957750,-83.435188293457,0,0,0
19499958000,-86.1877899169922,0,0,0
19499958250,-90.6941604614258,0,0,0
19499958500,-93.9592819213867,0,0,0
19499958750,-96.6759643554688,0,0,0
19499959000,-104.004096984863,0,0,0
19499959250,-94.3408508300781,0,0,0
19499959500,-88.4865875244141,0,0,0
19499959750,-86.6759948730469,0,0,0
19499960000,-85.9835205078125,0,0,0
19499960250,-84.6110382080078,0,0,0
19499960500,-82.808219909668,0,0,0
19499960750,-81.5895309448242,0,0,0
19499961000,-81.7592391967773,0,0,0
19499961250,-83.2283401489258,0,0,0
19499961500,-87.3572463989258,0,0,0
19499961750,-94.292236328125,0,0,0
19499962000,-95.8081130981445,0,0,0
19499962250,-86.536750793457,0,0,0
19499962500,-83.1360397338867,0,0,0
19499962750,-81.6039123535156,0,0,0
19499963000,-82.3570098876953,0,0,0
19499963250,-85.4421081542969,0,0,0
19499963500,-88.0014572143555,0,0,0
19499963750,-88.0376358032227,0,0,0
19499964000,-86.8961639404297,0,0,0
19499964250,-89.3978652954102,0,0,0
19499964500,-92.5979232788086,0,0,0
19499964750,-86.6917266845703,0,0,0
19499965000,-81.5954895019531,0,0,0
19499965250,-80.0116119384766,0,0,0
19499965500,-80.4712829589844,0,0,0
19499965750,-82.5017547607422,0,0,0
19499966000,-85.5593032836914,0,0,0
19499966250,-87.6449279785156,0,0,0
19499966500,-88.6838226318359,0,0,0
19499966750,-90.2764892578125,0,0,0
19499967000,-90.5880432128906,0,0,0
19499967250,-88.6917343139648,0,0,0
19499967500,-87.7321624755859,0,0,0
19499967750,-88.1857528686523,0,0,0
19499968000,-83.7842407226563,0,0,0
19499968250,-80.5569763183594,0,0,0
19499968500,-79.4983444213867,0,0,0
19499968750,-79.47021484375,0,0,0
19499969000,-79.2701721191406,0,0,0
19499969250,-78.8325271606445,0,0,0
19499969500,-80.7506484985352,0,0,0
19499969750,-91.440559387207,0,0,0
19499970000,-89.9354858398438,0,0,0
19499970250,-83.3024063110352,0,0,0
19499970500,-79.7634353637695,0,0,0
19499970750,-79.5253219604492,0,0,0
19499971000,-80.7936477661133,0,0,0
19499971250,-81.9355163574219,0,0,0
19499971500,-82.6901931762695,0,0,0
19499971750,-84.1758346557617,0,0,0
19499972000,-85.7692108154297,0,0,0
19499972250,-86.1361312866211,0,0,0
19499972500,-84.9036178588867,0,0,0
19499972750,-84.0907821655273,0,0,0
19499973000,-84.8940200805664,0,0,0
19499973250,-87.0879516601563,0,0,0
19499973500,-90.4014587402344,0,0,0
19499973750,-94.0513305664063,0,0,0
19499974000,-95.251953125,0,0,0
19499974250,-91.4072799682617,0,0,0
19499974500,-87.0195770263672,0,0,0
19499974750,-83.3880844116211,0,0,0
19499975000,-81.0255584716797,0,0,0
19499975250,-80.49658203125,0,0,0
19499975500,-82.5187530517578,0,0,0
19499975750,-89.0544281005859,0,0,0
19499976000,-100.185302734375,0,0,0
19499976250,-100.964126586914,0,0,0
19499976500,-91.7752532958984,0,0,0
19499976750,-86.8494110107422,0,0,0
19499977000,-87.8217315673828,0,0,0
19499977250,-91.8422698974609,0,0,0
19499977500,-95.8682250976562,0,0,0
19499977750,-94.7854080200195,0,0,0
19499978000,-85.326904296875,0,0,0
19499978250,-80.3103790283203,0,0,0
19499978500,-78.4070434570313,0,0,0
19499978750,-78.1836013793945,0,0,0
19499979000,-78.8988189697266,0,0,0
19499979250,-79.5528717041016,0,0,0
19499979500,-81.2306137084961,0,0,0
19499979750,-85.2239074707031,0,0,0
19499980000,-85.749626159668,0,0,0
19499980250,-84.7025680541992,0,0,0
19499980500,-84.2574005126953,0,0,0
19499980750,-84.8345031738281,0,0,0
19499981000,-83.32080078125,0,0,0
19499981250,-82.1875762939453,0,0,0
19499981500,-80.9176788330078,0,0,0
19499981750,-79.2910919189453,0,0,0
19499982000,-79.7320022583008,0,0,0
19499982250,-83.6394805908203,0,0,0
19499982500,-87.0011291503906,0,0,0
19499982750,-83.5401458740234,0,0,0
19499983000,-79.8318710327148,0,0,0
19499983250,-78.4303436279297,0,0,0
19499983500,-77.5676345825195,0,0,0
19499983750,-76.9300231933594,0,0,0
19499984000,-77.6606597900391,0,0,0
19499984250,-81.3746719360352,0,0,0
19499984500,-88.2898025512695,0,0,0
19499984750,-88.6733856201172,0,0,0
19499985000,-83.3820648193359,0,0,0
19499985250,-79.4115753173828,0,0,0
19499985500,-77.1329879760742,0,0,0
19499985750,-76.3356475830078,0,0,0
19499986000,-77.0143508911133,0,0,0
19499986250,-78.5393676757813,0,0,0
19499986500,-80.7578964233398,0,0,0
19499986750,-83.9555587768555,0,0,0
19499987000,-92.0602035522461,0,0,0
19499987250,-94.6526184082031,0,0,0
19499987500,-89.3120269775391,0,0,0
19499987750,-82.5977249145508,0,0,0
19499988000,-80.5630798339844,0,0,0
19499988250,-79.4847946166992,0,0,0
19499988500,-78.3705062866211,0,0,0
19499988750,-77.2735900878906,0,0,0
19499989000,-77.9340209960938,0,0,0
19499989250,-80.9496917724609,0,0,0
19499989500,-80.8868408203125,0,0,0
19499989750,-63.5024452209473,0,0,0
19499990000,-55.6672248840332,0,0,0
19499990250,-51.2071266174316,0,0,0
19499990500,-49.5237503051758,0,0,0
19499990750,-50.5753746032715,0,0,0
19499991000,-54.5268859863281,0,0,0
19499991250,-61.6054306030273,0,0,0
19499991500,-71.0493011474609,0,0,0
19499991750,-74.9755477905273,0,0,0
19499992000,-76.5513916015625,0,0,0
19499992250,-77.2829895019531,0,0,0
19499992500,-78.0143661499023,0,0,0
19499992750,-78.6978607177734,0,0,0
19499993000,-78.7732009887695,0,0,0
19499993250,-78.3993911743164,0,0,0
19499993500,-78.0554504394531,0,0,0
19499993750,-77.435791015625,0,0,0
19499994000,-76.4912948608398,0,0,0
19499994250,-75.6993637084961,0,0,0
19499994500,-75.5270690917969,0,0,0
19499994750,-76.4444427490234,0,0,0
19499995000,-77.7097473144531,0,0,0
19499995250,-78.0756301879883,0,0,0
19499995500,-78.0948104858398,0,0,0
19499995750,-78.8983535766602,0,0,0
19499996000,-81.4508590698242,0,0,0
19499996250,-84.8155746459961,0,0,0
19499996500,-85.7080230712891,0,0,0
19499996750,-82.4828338623047,0,0,0
19499997000,-82.8509979248047,0,0,0
19499997250,-87.1009521484375,0,0,0
19499997500,-98.0520629882813,0,0,0
19499997750,-102.437606811523,0,0,0
19499998000,-91.9354553222656,0,0,0
19499998250,-88.5175933837891,0,0,0
19499998500,-84.5345153808594,0,0,0
19499998750,-82.013427734375,0,0,0
19499999000,-80.2744903564453,0,0,0
19499999250,-79.0475845336914,0,0,0
19499999500,-78.6077041625977,0,0,0
19499999750,-79.4604797363281,0,0,0
19500000000,-81.3037567138672,0,0,0
19500000250,-84.0334396362305,0,0,0
19500000500,-83.1851348876953,0,0,0
19500000750,-80.6311645507812,0,0,0
19500001000,-78.7667236328125,0,0,0
19500001250,-78.4197006225586,0,0,0
19500001500,-78.9719543457031,0,0,0
19500001750,-80.4609909057617,0,0,0
19500002000,-83.4785919189453,0,0,0
19500002250,-84.5994567871094,0,0,0
19500002500,-83.1484909057617,0,0,0
19500002750,-83.6102294921875,0,0,0
19500003000,-91.6863479614258,0,0,0
19500003250,-107.112655639648,0,0,0
19500003500,-87.6836471557617,0,0,0
19500003750,-84.2310943603516,0,0,0
19500004000,-84.6206817626953,0,0,0
19500004250,-88.9919738769531,0,0,0
19500004500,-91.2756576538086,0,0,0
19500004750,-87.3098526000977,0,0,0
19500005000,-83.1791381835938,0,0,0
19500005250,-83.0559616088867,0,0,0
19500005500,-84.1450500488281,0,0,0
19500005750,-84.448127746582,0,0,0
19500006000,-84.4296951293945,0,0,0
19500006250,-84.737419128418,0,0,0
19500006500,-84.7501449584961,0,0,0
19500006750,-82.6503524780273,0,0,0
19500007000,-80.5252075195313,0,0,0
19500007250,-80.1105880737305,0,0,0
19500007500,-81.6739273071289,0,0,0
19500007750,-82.5276794433594,0,0,0
19500008000,-81.2925491333008,0,0,0
