Freq,Power,na,na,na
19499950000,-79.9976501464844,0,0,0
19499950250,-76.2078018188477,0,0,0
19499950500,-75.2518997192383,0,0,0
19499950750,-74.982177734375,0,0,0
19499951000,-75.3588256835938,0,0,0
19499951250,-75.7812881469727,0,0,0
19499951500,-75.5271072387695,0,0,0
19499951750,-75.5920944213867,0,0,0
19499952000,-76.5061111450195,0,0,0
19499952250,-79.2366180419922,0,0,0
19499952500,-84.6510314941406,0,0,0
19499952750,-88.3673934936523,0,0,0
19499953000,-84.4400100708008,0,0,0
19499953250,-78.4507675170898,0,0,0
19499953500,-75.3488311767578,0,0,0
19499953750,-74.6751403808594,0,0,0
19499954000,-75.4516525268555,0,0,0
19499954250,-75.2884902954102,0,0,0
19499954500,-73.6064071655273,0,0,0
19499954750,-72.2434005737305,0,0,0
19499955000,-73.0988922119141,0,0,0
19499955250,-76.1836624145508,0,0,0
19499955500,-81.0736083984375,0,0,0
19499955750,-86.9118423461914,0,0,0
19499956000,-91.2414245605469,0,0,0
19499956250,-84.2040100097656,0,0,0
19499956500,-78.0771713256836,0,0,0
19499956750,-76.171760559082,0,0,0
19499957000,-76.5143966674805,0,0,0
19499957250,-78.1684494018555,0,0,0
19499957500,-79.1521987915039,0,0,0
19499957750,-77.9849472045898,0,0,0
19499958000,-75.6189041137695,0,0,0
19499958250,-73.8651733398437,0,0,0
19499958500,-73.5550537109375,0,0,0
19499958750,-75.2176971435547,0,0,0
19499959000,-76.718132019043,0,0,0
19499959250,-77.4804840087891,0,0,0
19499959500,-78.4756317138672,0,0,0
19499959750,-77.5368881225586,0,0,0
19499960000,-75.7239761352539,0,0,0
19499960250,-74.5352935791016,0,0,0
19499960500,-74.2435684204102,0,0,0
19499960750,-73.5456848144531,0,0,0
19499961000,-71.5070724487305,0,0,0
19499961250,-70.234977722168,0,0,0
19499961500,-70.9020080566406,0,0,0
19499961750,-72.3388977050781,0,0,0
19499962000,-73.3860015869141,0,0,0
19499962250,-74.1817169189453,0,0,0
19499962500,-76.7821273803711,0,0,0
19499962750,-76.5190277099609,0,0,0
19499963000,-74.2199478149414,0,0,0
19499963250,-74.5615081787109,0,0,0
19499963500,-78.1723403930664,0,0,0
19499963750,-84.9153900146484,0,0,0
19499964000,-89.3717498779297,0,0,0
19499964250,-78.7273864746094,0,0,0
19499964500,-77.0502243041992,0,0,0
19499964750,-79.1180267333984,0,0,0
19499965000,-79.4580383300781,0,0,0
19499965250,-76.6206741333008,0,0,0
19499965500,-72.6699371337891,0,0,0
19499965750,-70.4985656738281,0,0,0
19499966000,-69.9954986572266,0,0,0
19499966250,-71.0141372680664,0,0,0
19499966500,-72.8319244384766,0,0,0
19499966750,-74.9767990112305,0,0,0
19499967000,-79.0481948852539,0,0,0
19499967250,-83.1510391235352,0,0,0
19499967500,-80.9498596191406,0,0,0
19499967750,-78.2385406494141,0,0,0
19499968000,-79.1656875610352,0,0,0
19499968250,-76.9372940063477,0,0,0
19499968500,-73.6977844238281,0,0,0
19499968750,-72.0773544311523,0,0,0
19499969000,-72.821907043457,0,0,0
19499969250,-73.1316833496094,0,0,0
19499969500,-71.035400390625,0,0,0
19499969750,-69.7837600708008,0,0,0
19499970000,-69.4601287841797,0,0,0
19499970250,-69.497444152832,0,0,0
19499970500,-69.703369140625,0,0,0
19499970750,-70.3657684326172,0,0,0
19499971000,-71.7949829101563,0,0,0
19499971250,-74.3145370483398,0,0,0
19499971500,-80.694465637207,0,0,0
19499971750,-87.3884506225586,0,0,0
19499972000,-86.4172973632812,0,0,0
19499972250,-81.1970062255859,0,0,0
19499972500,-83.4759750366211,0,0,0
19499972750,-90.7031173706055,0,0,0
19499973000,-82.2049789428711,0,0,0
19499973250,-76.8159790039063,0,0,0
19499973500,-75.1092834472656,0,0,0
19499973750,-75.7088851928711,0,0,0
19499974000,-76.7247543334961,0,0,0
19499974250,-76.639762878418,0,0,0
19499974500,-76.656005859375,0,0,0
19499974750,-79.0269317626953,0,0,0
19499975000,-80.9512100219727,0,0,0
19499975250,-79.3519973754883,0,0,0
19499975500,-76.5927734375,0,0,0
19499975750,-77.5989227294922,0,0,0
19499976000,-81.5347900390625,0,0,0
19499976250,-84.2328491210938,0,0,0
19499976500,-78.6506500244141,0,0,0
19499976750,-74.8492813110352,0,0,0
19499977000,-73.0280227661133,0,0,0
19499977250,-71.9040451049805,0,0,0
19499977500,-70.816764831543,0,0,0
19499977750,-69.6784439086914,0,0,0
19499978000,-69.3302383422852,0,0,0
19499978250,-70.7518844604492,0,0,0
19499978500,-74.1949157714844,0,0,0
19499978750,-79.0635604858398,0,0,0
19499979000,-82.6575088500977,0,0,0
19499979250,-82.7105331420898,0,0,0
19499979500,-80.2161560058594,0,0,0
19499979750,-75.3237915039062,0,0,0
19499980000,-72.9289855957031,0,0,0
19499980250,-73.3497848510742,0,0,0
19499980500,-75.1453247070313,0,0,0
19499980750,-77.3687438964844,0,0,0
19499981000,-79.6080627441406,0,0,0
19499981250,-83.3606109619141,0,0,0
19499981500,-86.1020889282227,0,0,0
19499981750,-79.6658554077148,0,0,0
