Freq,Power,na,na,na
19049975000,-92.1712188720703,0,0,0
19049975125,-95.9918746948242,0,0,0
19049975250,-92.1058044433594,0,0,0
19049975375,-89.8639221191406,0,0,0
19049975500,-88.9579238891602,0,0,0
19049975625,-88.2208709716797,0,0,0
19049975750,-88.8380661010742,0,0,0
19049975875,-88.1696166992188,0,0,0
19049976000,-86.884391784668,0,0,0
19049976125,-90.6796188354492,0,0,0
19049976250,-96.2075042724609,0,0,0
19049976375,-91.5773162841797,0,0,0
19049976500,-88.8620223999023,0,0,0
19049976625,-93.0809707641602,0,0,0
19049976750,-96.611198425293,0,0,0
19049976875,-92.189453125,0,0,0
19049977000,-90.2873992919922,0,0,0
19049977125,-96.5839538574219,0,0,0
19049977250,-95.3978576660156,0,0,0
19049977375,-89.4833068847656,0,0,0
19049977500,-90.4511795043945,0,0,0
19049977625,-96.4159469604492,0,0,0
19049977750,-108.496528625488,0,0,0
19049977875,-95.1916885375977,0,0,0
19049978000,-91.3048629760742,0,0,0
19049978125,-93.3636169433594,0,0,0
19049978250,-93.1110534667969,0,0,0
19049978375,-87.5904998779297,0,0,0
19049978500,-83.0809173583984,0,0,0
19049978625,-82.4668579101563,0,0,0
19049978750,-85.8584365844727,0,0,0
19049978875,-86.7406616210938,0,0,0
19049979000,-86.7342300415039,0,0,0
19049979125,-87.3211364746094,0,0,0
19049979250,-89.6225433349609,0,0,0
19049979375,-92.9358444213867,0,0,0
19049979500,-94.3250885009766,0,0,0
19049979625,-94.0658187866211,0,0,0
19049979750,-91.5368118286133,0,0,0
19049979875,-89.3141555786133,0,0,0
19049980000,-96.9229965209961,0,0,0
19049980125,-103.006385803223,0,0,0
19049980250,-88.4530334472656,0,0,0
19049980375,-84.7363739013672,0,0,0
19049980500,-83.8357086181641,0,0,0
19049980625,-84.4699478149414,0,0,0
19049980750,-85.0238876342773,0,0,0
19049980875,-84.2090301513672,0,0,0
19049981000,-83.2744979858398,0,0,0
19049981125,-85.3463363647461,0,0,0
19049981250,-94.4991836547852,0,0,0
19049981375,-94.9157409667969,0,0,0
19049981500,-91.4058532714844,0,0,0
19049981625,-99.5203704833984,0,0,0
19049981750,-93.5559539794922,0,0,0
19049981875,-89.3641510009766,0,0,0
19049982000,-93.2979278564453,0,0,0
19049982125,-92.5032501220703,0,0,0
19049982250,-88.1177749633789,0,0,0
19049982375,-91.8578338623047,0,0,0
19049982500,-104.204330444336,0,0,0
19049982625,-102.252639770508,0,0,0
19049982750,-104.678588867187,0,0,0
19049982875,-102.000701904297,0,0,0
19049983000,-98.6764602661133,0,0,0
19049983125,-96.5458297729492,0,0,0
19049983250,-93.956657409668,0,0,0
19049983375,-95.1376953125,0,0,0
19049983500,-91.0215759277344,0,0,0
19049983625,-85.8409805297852,0,0,0
19049983750,-86.6178970336914,0,0,0
19049983875,-88.6115264892578,0,0,0
19049984000,-89.8812026977539,0,0,0
19049984125,-95.496711730957,0,0,0
19049984250,-95.6613311767578,0,0,0
19049984375,-93.0890121459961,0,0,0
19049984500,-92.2407531738281,0,0,0
19049984625,-89.6081008911133,0,0,0
19049984750,-90.3357315063477,0,0,0
19049984875,-93.9362945556641,0,0,0
19049985000,-93.7918014526367,0,0,0
19049985125,-95.8224945068359,0,0,0
19049985250,-96.9873123168945,0,0,0
19049985375,-86.3188171386719,0,0,0
19049985500,-83.01611328125,0,0,0
19049985625,-82.0469131469727,0,0,0
19049985750,-83.1744232177734,0,0,0
19049985875,-87.6626815795898,0,0,0
19049986000,-90.3909454345703,0,0,0
19049986125,-87.4827651977539,0,0,0
19049986250,-85.4211120605469,0,0,0
19049986375,-86.3568115234375,0,0,0
19049986500,-91.4791717529297,0,0,0
19049986625,-95.927864074707,0,0,0
19049986750,-90.7870635986328,0,0,0
19049986875,-86.9071273803711,0,0,0
19049987000,-83.8546142578125,0,0,0
19049987125,-82.1443023681641,0,0,0
19049987250,-82.6886367797852,0,0,0
19049987375,-84.3745956420898,0,0,0
19049987500,-84.0835647583008,0,0,0
19049987625,-82.4048004150391,0,0,0
19049987750,-82.0247497558594,0,0,0
19049987875,-83.28955078125,0,0,0
19049988000,-85.4889450073242,0,0,0
19049988125,-87.5542526245117,0,0,0
19049988250,-90.3654556274414,0,0,0
19049988375,-101.845855712891,0,0,0
19049988500,-91.2781677246094,0,0,0
19049988625,-85.2180557250977,0,0,0
19049988750,-84.1678695678711,0,0,0
19049988875,-87.2137756347656,0,0,0
19049989000,-94.1836318969727,0,0,0
19049989125,-103.920013427734,0,0,0
19049989250,-101.8720703125,0,0,0
19049989375,-93.2305526733398,0,0,0
19049989500,-95.063850402832,0,0,0
19049989625,-97.0904769897461,0,0,0
19049989750,-91.5244369506836,0,0,0
19049989875,-85.8567352294922,0,0,0
19049990000,-83.0031280517578,0,0,0
19049990125,-82.443489074707,0,0,0
19049990250,-85.0028076171875,0,0,0
19049990375,-89.4090805053711,0,0,0
19049990500,-89.5838470458984,0,0,0
19049990625,-85.952278137207,0,0,0
19049990750,-84.8133010864258,0,0,0
19049990875,-86.8581085205078,0,0,0
19049991000,-87.3944854736328,0,0,0
19049991125,-83.9648284912109,0,0,0
19049991250,-82.501594543457,0,0,0
19049991375,-78.4192047119141,0,0,0
19049991500,-67.9026794433594,0,0,0
19049991625,-60.6390953063965,0,0,0
19049991750,-58.1661796569824,0,0,0
19049991875,-59.9716339111328,0,0,0
19049992000,-66.5814056396484,0,0,0
19049992125,-82.5118103027344,0,0,0
19049992250,-82.0851821899414,0,0,0
19049992375,-82.6982574462891,0,0,0
19049992500,-84.5202026367188,0,0,0
19049992625,-83.8309555053711,0,0,0
19049992750,-84.1380996704102,0,0,0
19049992875,-86.9769058227539,0,0,0
19049993000,-93.9270553588867,0,0,0
19049993125,-99.0864028930664,0,0,0
19049993250,-88.987678527832,0,0,0
19049993375,-84.331428527832,0,0,0
19049993500,-83.7383499145508,0,0,0
19049993625,-90.01708984375,0,0,0
19049993750,-95.2634582519531,0,0,0
19049993875,-87.6943130493164,0,0,0
19049994000,-83.6856155395508,0,0,0
19049994125,-85.030387878418,0,0,0
19049994250,-89.3074722290039,0,0,0
19049994375,-95.6448669433594,0,0,0
19049994500,-91.2976608276367,0,0,0
19049994625,-84.1984939575195,0,0,0
19049994750,-81.5090179443359,0,0,0
19049994875,-82.6107864379883,0,0,0
19049995000,-88.1519622802734,0,0,0
19049995125,-97.4506149291992,0,0,0
19049995250,-97.4082641601563,0,0,0
19049995375,-89.7885284423828,0,0,0
19049995500,-86.0564651489258,0,0,0
19049995625,-84.6003265380859,0,0,0
19049995750,-87.6746673583984,0,0,0
19049995875,-88.2641448974609,0,0,0
19049996000,-83.4695739746094,0,0,0
19049996125,-82.2905883789062,0,0,0
19049996250,-85.7976303100586,0,0,0
19049996375,-91.2980270385742,0,0,0
19049996500,-88.0950546264648,0,0,0
19049996625,-85.0443572998047,0,0,0
19049996750,-86.6131210327148,0,0,0
19049996875,-93.395622253418,0,0,0
19049997000,-95.6779403686523,0,0,0
19049997125,-90.5070266723633,0,0,0
19049997250,-90.1373062133789,0,0,0
19049997375,-85.5238342285156,0,0,0
19049997500,-82.6613159179688,0,0,0
19049997625,-83.5683517456055,0,0,0
19049997750,-86.9193420410156,0,0,0
19049997875,-88.4905776977539,0,0,0
19049998000,-87.3032684326172,0,0,0
19049998125,-85.1092758178711,0,0,0
19049998250,-83.6841888427734,0,0,0
19049998375,-84.3693161010742,0,0,0
19049998500,-86.100700378418,0,0,0
19049998625,-87.2395401000977,0,0,0
19049998750,-88.9984130859375,0,0,0
19049998875,-96.8932418823242,0,0,0
19049999000,-100.621269226074,0,0,0
19049999125,-91.0363845825195,0,0,0
19049999250,-85.6810989379883,0,0,0
19049999375,-84.6841812133789,0,0,0
19049999500,-87.2104034423828,0,0,0
19049999625,-89.2440719604492,0,0,0
19049999750,-90.8417892456055,0,0,0
19049999875,-105.705848693848,0,0,0
19050000000,-92.3457641601563,0,0,0
19050000125,-88.5289993286133,0,0,0
19050000250,-87.5684356689453,0,0,0
19050000375,-85.4960174560547,0,0,0
19050000500,-83.3492584228516,0,0,0
19050000625,-84.4960479736328,0,0,0
19050000750,-93.7797546386719,0,0,0
19050000875,-96.7831497192383,0,0,0
19050001000,-86.8221054077148,0,0,0
19050001125,-86.0254898071289,0,0,0
19050001250,-88.8702392578125,0,0,0
19050001375,-93.6951065063477,0,0,0
19050001500,-93.7618713378906,0,0,0
19050001625,-97.9239730834961,0,0,0
19050001750,-93.2787399291992,0,0,0
19050001875,-91.285514831543,0,0,0
19050002000,-99.08984375,0,0,0
19050002125,-92.710563659668,0,0,0
19050002250,-95.764892578125,0,0,0
19050002375,-99.3536682128906,0,0,0
19050002500,-90.3401107788086,0,0,0
19050002625,-94.0397491455078,0,0,0
19050002750,-97.9209518432617,0,0,0
19050002875,-99.7816314697266,0,0,0
19050003000,-96.8247756958008,0,0,0
19050003125,-91.820426940918,0,0,0
19050003250,-89.9451675415039,0,0,0
19050003375,-88.0470199584961,0,0,0
19050003500,-84.9360809326172,0,0,0
19050003625,-83.5617904663086,0,0,0
19050003750,-87.5107574462891,0,0,0
19050003875,-93.2422103881836,0,0,0
