Freq,Power,na,na,na
100000000,-29.6505719002219,0,0,0
104750000,-37.4283950604369,0,0,0
109500000,-31.2190367507374,0,0,0
114250000,-30.0458340191636,0,0,0
119000000,-33.1216610787289,0,0,0
123750000,-29.1141318170638,0,0,0
128500000,-25.9913411824933,0,0,0
133250000,-34.9547366450377,0,0,0
138000000,-38.7818408609006,0,0,0
142750000,-26.8970120060438,0,0,0
147500000,-31.5638010460152,0,0,0
152250000,-28.4946757574826,0,0,0
157000000,-29.426507576167,0,0,0
161750000,-34.4274164954104,0,0,0
166500000,-25.6269864400828,0,0,0
171250000,-30.1306708821784,0,0,0
176000000,-29.3463322167201,0,0,0
180750000,-38.5435411286046,0,0,0
185500000,-28.1950410739543,0,0,0
190250000,-37.2228713912151,0,0,0
195000000,-34.2467373958168,0,0,0
199750000,-33.8330939232857,0,0,0
204500000,-37.3197860083126,0,0,0
209250000,-30.3234960260163,0,0,0
214000000,-40.1584984387431,0,0,0
218750000,-32.4497164972718,0,0,0
223500000,-30.3675552208746,0,0,0
228250000,-41.4963140112885,0,0,0
233000000,-32.4487367222003,0,0,0
237750000,-32.3626114622885,0,0,0
242500000,-32.0638589884866,0,0,0
247250000,-39.2481766103562,0,0,0
252000000,-28.1244053507346,0,0,0
256750000,-30.7951924833286,0,0,0
261500000,-30.9909275824447,0,0,0
266250000,-25.1082833168206,0,0,0
271000000,-34.3988488070289,0,0,0
275750000,-26.4152754010559,0,0,0
280500000,-28.2735041803075,0,0,0
285250000,-35.7468814680691,0,0,0
290000000,-37.6165552125675,0,0,0
294750000,-38.8702506265425,0,0,0
299500000,-25.2436911268895,0,0,0
304250000,-33.4458938338987,0,0,0
309000000,-29.5077680795143,0,0,0
313750000,-30.6444257301452,0,0,0
318500000,-38.2498124877931,0,0,0
323250000,-23.6841844235678,0,0,0
328000000,-29.6419591102057,0,0,0
332750000,-38.4623492184938,0,0,0
337500000,-28.1483327890263,0,0,0
342250000,-38.6927732555922,0,0,0
347000000,-27.351270333277,0,0,0
351750000,-32.205597428477,0,0,0
356500000,-37.7020051551693,0,0,0
361250000,-35.1638954200372,0,0,0
366000000,-24.2257864894328,0,0,0
370750000,-33.8007188786587,0,0,0
375500000,-30.623403794131,0,0,0
380250000,-31.0011328873747,0,0,0
385000000,-31.3620380483447,0,0,0
389750000,-30.7487700272875,0,0,0
394500000,-35.4445259952897,0,0,0
399250000,-30.1910471831169,0,0,0
404000000,-28.5313076946548,0,0,0
408750000,-34.0691182322606,0,0,0
413500000,-28.299745079737,0,0,0
418250000,-27.0884842955653,0,0,0
423000000,-30.484798449655,0,0,0
427750000,-32.2198085363744,0,0,0
432500000,-32.9367577984575,0,0,0
437250000,-35.8997206866576,0,0,0
442000000,-26.1249590572363,0,0,0
446750000,-31.0759716285956,0,0,0
451500000,-35.6477137131835,0,0,0
456250000,-31.5789403084119,0,0,0
461000000,-32.650040196779,0,0,0
465750000,-30.0265186593223,0,0,0
470500000,-37.6342906027668,0,0,0
475250000,-29.2293590783382,0,0,0
480000000,-37.1631559412541,0,0,0
484750000,-36.4637331133378,0,0,0
489500000,-28.9537897178223,0,0,0
494250000,-27.8249018511595,0,0,0
499000000,-28.2219696112293,0,0,0
503750000,-35.5228741560452,0,0,0
508500000,-35.4840993157115,0,0,0
513250000,-29.6392975867761,0,0,0
518000000,-34.4151320074778,0,0,0
522750000,-39.2378389945408,0,0,0
527500000,-43.9665904036678,0,0,0
532250000,-33.2120028683181,0,0,0
537000000,-39.3393533724881,0,0,0
541750000,-34.1598094403066,0,0,0
546500000,-36.610456172671,0,0,0
551250000,-33.4603443169051,0,0,0
556000000,-38.536326754677,0,0,0
560750000,-30.2705310185485,0,0,0
565500000,-32.9546147442414,0,0,0
570250000,-33.3837806981657,0,0,0
575000000,-34.2064867040084,0,0,0
579750000,-29.0306856517419,0,0,0
584500000,-29.9123843546981,0,0,0
589250000,-36.7390690701348,0,0,0
594000000,-33.784026768345,0,0,0
598750000,-35.5550637043775,0,0,0
603500000,-33.4411773098069,0,0,0
608250000,-26.6045148951101,0,0,0
613000000,-33.9834748223744,0,0,0
617750000,-30.4040118616735,0,0,0
622500000,-40.4700580976702,0,0,0
627250000,-33.405443737719,0,0,0
632000000,-34.1742253183298,0,0,0
636750000,-31.5159817190205,0,0,0
641500000,-30.6604029335227,0,0,0
646250000,-31.9898684101932,0,0,0
651000000,-29.3924854421157,0,0,0
655750000,-36.5337593104272,0,0,0
660500000,-35.58781524128,0,0,0
665250000,-33.0521008245071,0,0,0
670000000,-32.4277988669478,0,0,0
674750000,-42.7007014390754,0,0,0
679500000,-27.2061150979605,0,0,0
684250000,-34.9850390633021,0,0,0
689000000,-44.1149402367862,0,0,0
693750000,-31.7985627743378,0,0,0
698500000,-25.7952652652333,0,0,0
703250000,-30.0849673352296,0,0,0
708000000,-41.2668869168611,0,0,0
712750000,-30.6330920804119,0,0,0
717500000,-39.0807189049493,0,0,0
722250000,-31.9653664214492,0,0,0
727000000,-29.0157309222093,0,0,0
731750000,-31.5528107587921,0,0,0
736500000,-37.8726214177671,0,0,0
741250000,-39.432708991705,0,0,0
746000000,-38.1649808552221,0,0,0
750750000,-33.3886607078621,0,0,0
755500000,-33.1859287682876,0,0,0
760250000,-36.1828641810129,0,0,0
765000000,-29.5435110347688,0,0,0
769750000,-32.2897269552841,0,0,0
774500000,-31.3807144479826,0,0,0
779250000,-28.7912362208915,0,0,0
784000000,-31.7133173546297,0,0,0
788750000,-34.312436769069,0,0,0
793500000,-40.5815882199305,0,0,0
798250000,-29.897924127714,0,0,0
803000000,-43.7451987301078,0,0,0
807750000,-34.0144809926897,0,0,0
812500000,-31.4579574669765,0,0,0
817250000,-36.0597292699715,0,0,0
822000000,-35.3212292266731,0,0,0
826750000,-30.1857596909923,0,0,0
831500000,-27.6888630688017,0,0,0
836250000,-38.992647484619,0,0,0
841000000,-40.2088634122254,0,0,0
845750000,-32.2549039237585,0,0,0
850500000,-32.1809403880481,0,0,0
855250000,-37.6672501669273,0,0,0
860000000,-28.927229781636,0,0,0
864750000,-31.3900674784422,0,0,0
869500000,-28.2875954089067,0,0,0
874250000,-39.07654978588,0,0,0
879000000,-35.0110424223154,0,0,0
883750000,-35.8320155768929,0,0,0
888500000,-31.7917723981935,0,0,0
893250000,-30.8338041188087,0,0,0
898000000,-34.440469965919,0,0,0
902750000,-30.274917266657,0,0,0
907500000,-38.7563786079317,0,0,0
912250000,-28.0938771443879,0,0,0
917000000,-34.2776573463849,0,0,0
921750000,-29.4576742083403,0,0,0
926500000,-43.9693473169575,0,0,0
931250000,-28.9668971157352,0,0,0
936000000,-35.00454643569,0,0,0
940750000,-36.2649628361231,0,0,0
945500000,-29.1338640435956,0,0,0
950250000,-32.7426206318949,0,0,0
955000000,-36.8598837942144,0,0,0
959750000,-35.2284723291862,0,0,0
964500000,-27.1643476108026,0,0,0
969250000,-36.0308744477048,0,0,0
974000000,-33.2504400782241,0,0,0
978750000,-31.5571502737949,0,0,0
983500000,-26.272377803473,0,0,0
988250000,-32.5261215447374,0,0,0
993000000,-28.4846469977394,0,0,0
997750000,-30.5113319692098,0,0,0
1002500000,-31.4957592376841,0,0,0
1007250000,-27.4585625465142,0,0,0
1012000000,-41.0678336331167,0,0,0
1016750000,-33.9166204462822,0,0,0
1021500000,-35.2613220847909,0,0,0
1026250000,-28.427250573958,0,0,0
1031000000,-39.2910328708186,0,0,0
1035750000,-32.5550825530054,0,0,0
1040500000,-34.5713679191782,0,0,0
1045250000,-28.3911924330844,0,0,0
1050000000,-33.1899774133409,0,0,0
1054750000,-34.8199486651238,0,0,0
1059500000,-30.5461580319822,0,0,0
1064250000,-34.2134295434514,0,0,0
1069000000,-30.2269846598792,0,0,0
1073750000,-35.3954168149363,0,0,0
1078500000,-37.960221067736,0,0,0
1083250000,-33.0601762198418,0,0,0
1088000000,-36.6811382688038,0,0,0
1092750000,-28.7687336741166,0,0,0
1097500000,-30.1514844402676,0,0,0
1102250000,-33.8299861813717,0,0,0
1107000000,-35.8381244011651,0,0,0
1111750000,-25.496742315525,0,0,0
1116500000,-28.9391864311386,0,0,0
1121250000,-34.6339356323733,0,0,0
1126000000,-35.7579738539899,0,0,0
1130750000,-32.6246746803661,0,0,0
1135500000,-27.3780861438038,0,0,0
1140250000,-35.0259619849699,0,0,0
1145000000,-35.9778255397448,0,0,0
1149750000,-40.159536249242,0,0,0
1154500000,-37.8655482863438,0,0,0
1159250000,-33.7837182807275,0,0,0
1164000000,-42.7725933748481,0,0,0
1168750000,-33.552965971696,0,0,0
1173500000,-33.4717806580081,0,0,0
1178250000,-41.0756887476618,0,0,0
1183000000,-29.3199127715116,0,0,0
1187750000,-33.1240890400563,0,0,0
1192500000,-28.6292410237527,0,0,0
1197250000,-38.9930615088916,0,0,0
1202000000,-47.3573400626129,0,0,0
1206750000,-39.9822239331067,0,0,0
1211500000,-34.3312159488464,0,0,0
1216250000,-30.0153165511588,0,0,0
1221000000,-32.803103116384,0,0,0
1225750000,-32.936697946068,0,0,0
1230500000,-40.4284278766579,0,0,0
1235250000,-33.8680878365552,0,0,0
1240000000,-33.3897299237614,0,0,0
1244750000,-38.7103573796825,0,0,0
1249500000,-39.4333957275386,0,0,0
1254250000,-38.5335365630385,0,0,0
1259000000,-32.823135489074,0,0,0
1263750000,-33.2128197344116,0,0,0
1268500000,-35.3756804713717,0,0,0
1273250000,-43.0219922683456,0,0,0
1278000000,-34.246879488607,0,0,0
1282750000,-35.7617669776624,0,0,0
1287500000,-31.95127731266,0,0,0
1292250000,-31.6411612378381,0,0,0
1297000000,-42.0394581445364,0,0,0
1301750000,-36.1892888159437,0,0,0
1306500000,-30.2866699350037,0,0,0
1311250000,-37.3969807883452,0,0,0
1316000000,-35.5632025343115,0,0,0
1320750000,-36.767643805422,0,0,0
1325500000,-42.9915915320448,0,0,0
1330250000,-36.2508184668646,0,0,0
1335000000,-33.1502475551792,0,0,0
1339750000,-44.7562453320793,0,0,0
1344500000,-33.9700247309665,0,0,0
1349250000,-36.7019460030049,0,0,0
1354000000,-35.4209795490335,0,0,0
1358750000,-32.4680942353238,0,0,0
1363500000,-35.1224230384716,0,0,0
1368250000,-30.8502322839667,0,0,0
1373000000,-34.5430135716559,0,0,0
1377750000,-29.6690345749661,0,0,0
1382500000,-30.2547366051369,0,0,0
1387250000,-32.9270213001559,0,0,0
1392000000,-37.2396151247022,0,0,0
1396750000,-38.669906183547,0,0,0
1401500000,-35.1428009986491,0,0,0
1406250000,-33.7820041839295,0,0,0
1411000000,-36.2775592940129,0,0,0
1415750000,-35.4455651126496,0,0,0
1420500000,-34.7774279252191,0,0,0
