Freq,Power,na,na,na
19999985000,-98.3900375366211,0,0,0
19999985025,-101.349334716797,0,0,0
19999985050,-99.1043701171875,0,0,0
19999985075,-98.459228515625,0,0,0
19999985100,-99.4983291625977,0,0,0
19999985125,-117.448463439941,0,0,0
19999985150,-115.337966918945,0,0,0
19999985175,-97.2515563964844,0,0,0
19999985200,-95.0881881713867,0,0,0
19999985225,-96.7634582519531,0,0,0
19999985250,-105.415870666504,0,0,0
19999985275,-100.642700195312,0,0,0
19999985300,-97.6139678955078,0,0,0
19999985325,-98.4328918457031,0,0,0
19999985350,-98.0151748657227,0,0,0
19999985375,-93.5526962280273,0,0,0
19999985400,-90.9405899047852,0,0,0
19999985425,-90.4822387695312,0,0,0
19999985450,-93.2999801635742,0,0,0
19999985475,-95.3997650146484,0,0,0
19999985500,-94.0495758056641,0,0,0
19999985525,-90.6203460693359,0,0,0
19999985550,-89.2915878295898,0,0,0
19999985575,-89.5773544311523,0,0,0
19999985600,-90.7592849731445,0,0,0
19999985625,-92.2808380126953,0,0,0
19999985650,-94.6049652099609,0,0,0
19999985675,-100.229858398437,0,0,0
19999985700,-105.469764709473,0,0,0
19999985725,-101.506057739258,0,0,0
19999985750,-99.0036239624023,0,0,0
19999985775,-101.298194885254,0,0,0
19999985800,-104.635147094727,0,0,0
19999985825,-103.074287414551,0,0,0
19999985850,-98.019172668457,0,0,0
19999985875,-93.7671661376953,0,0,0
19999985900,-90.7899856567383,0,0,0
19999985925,-89.7576675415039,0,0,0
19999985950,-91.377555847168,0,0,0
19999985975,-99.5966873168945,0,0,0
19999986000,-101.257461547852,0,0,0
19999986025,-96.0257568359375,0,0,0
19999986050,-92.7073059082031,0,0,0
19999986075,-90.8055038452148,0,0,0
19999986100,-89.7557525634766,0,0,0
19999986125,-90.2164840698242,0,0,0
19999986150,-92.1024322509766,0,0,0
19999986175,-94.9713973999023,0,0,0
19999986200,-96.7720184326172,0,0,0
19999986225,-96.0698623657227,0,0,0
19999986250,-95.6632461547852,0,0,0
19999986275,-96.9524230957031,0,0,0
19999986300,-98.1604232788086,0,0,0
19999986325,-98.2720336914063,0,0,0
19999986350,-99.8287353515625,0,0,0
19999986375,-104.456085205078,0,0,0
19999986400,-108.008750915527,0,0,0
19999986425,-98.8098220825195,0,0,0
19999986450,-96.6309127807617,0,0,0
19999986475,-96.3847579956055,0,0,0
19999986500,-98.9936218261719,0,0,0
19999986525,-100.010627746582,0,0,0
19999986550,-96.7222747802734,0,0,0
19999986575,-91.6726608276367,0,0,0
19999986600,-89.9961242675781,0,0,0
19999986625,-89.7249755859375,0,0,0
19999986650,-90.2803115844727,0,0,0
19999986675,-90.1973266601563,0,0,0
19999986700,-90.3346633911133,0,0,0
19999986725,-90.9583969116211,0,0,0
19999986750,-91.7940521240234,0,0,0
19999986775,-90.8184432983398,0,0,0
19999986800,-88.1545639038086,0,0,0
19999986825,-85.7804489135742,0,0,0
19999986850,-84.3268280029297,0,0,0
19999986875,-84.5182113647461,0,0,0
19999986900,-85.9236145019531,0,0,0
19999986925,-88.6621398925781,0,0,0
19999986950,-92.4856872558594,0,0,0
19999986975,-94.3026428222656,0,0,0
19999987000,-93.2780990600586,0,0,0
19999987025,-91.097053527832,0,0,0
19999987050,-89.3744201660156,0,0,0
19999987075,-88.8547058105469,0,0,0
19999987100,-90.4526443481445,0,0,0
19999987125,-94.7770385742187,0,0,0
19999987150,-95.8567504882813,0,0,0
19999987175,-93.4508056640625,0,0,0
19999987200,-91.1911468505859,0,0,0
19999987225,-90.8947372436523,0,0,0
19999987250,-91.6177368164063,0,0,0
19999987275,-92.7030944824219,0,0,0
19999987300,-93.6859512329102,0,0,0
19999987325,-94.3281173706055,0,0,0
19999987350,-95.97265625,0,0,0
19999987375,-97.9387130737305,0,0,0
19999987400,-98.3194961547852,0,0,0
19999987425,-96.4779586791992,0,0,0
19999987450,-96.3653335571289,0,0,0
19999987475,-96.2438125610352,0,0,0
19999987500,-96.6330413818359,0,0,0
19999987525,-97.693977355957,0,0,0
19999987550,-98.9311447143555,0,0,0
19999987575,-98.8874053955078,0,0,0
19999987600,-96.1439514160156,0,0,0
19999987625,-92.3134613037109,0,0,0
19999987650,-90.0591430664063,0,0,0
19999987675,-90.3590316772461,0,0,0
19999987700,-94.9810104370117,0,0,0
19999987725,-99.6151657104492,0,0,0
19999987750,-99.0596618652344,0,0,0
19999987775,-95.9161605834961,0,0,0
19999987800,-99.398078918457,0,0,0
19999987825,-107.136528015137,0,0,0
19999987850,-105.761528015137,0,0,0
19999987875,-100.679611206055,0,0,0
19999987900,-97.7707443237305,0,0,0
