Freq,Power,na,na,na
17999987500,-96.2830429077148,0,0,0
17999987512.5,-98.4082489013672,0,0,0
17999987525,-104.870254516602,0,0,0
17999987537.5,-97.325065612793,0,0,0
17999987550,-92.3102264404297,0,0,0
17999987562.5,-90.9753341674805,0,0,0
17999987575,-92.2921905517578,0,0,0
17999987587.5,-96.1492538452148,0,0,0
17999987600,-96.3465805053711,0,0,0
17999987612.5,-90.4201354980469,0,0,0
17999987625,-88.858024597168,0,0,0
17999987637.5,-91.0490112304688,0,0,0
17999987650,-93.6503067016602,0,0,0
17999987662.5,-95.2168426513672,0,0,0
17999987675,-105.825172424316,0,0,0
17999987687.5,-105.901344299316,0,0,0
17999987700,-100.004913330078,0,0,0
17999987712.5,-98.5015869140625,0,0,0
17999987725,-98.1583938598633,0,0,0
17999987737.5,-97.4214935302734,0,0,0
17999987750,-95.1390686035156,0,0,0
17999987762.5,-93.0370788574219,0,0,0
17999987775,-93.4280548095703,0,0,0
17999987787.5,-95.0015258789062,0,0,0
17999987800,-96.0712432861328,0,0,0
17999987812.5,-95.9572143554688,0,0,0
17999987825,-95.4193420410156,0,0,0
17999987837.5,-95.9448928833008,0,0,0
17999987850,-96.1257553100586,0,0,0
17999987862.5,-95.1656875610352,0,0,0
17999987875,-94.7279434204102,0,0,0
17999987887.5,-94.8799438476563,0,0,0
17999987900,-93.9633331298828,0,0,0
17999987912.5,-93.7333374023438,0,0,0
17999987925,-96.7763214111328,0,0,0
17999987937.5,-105.091445922852,0,0,0
17999987950,-104.368225097656,0,0,0
17999987962.5,-102.033912658691,0,0,0
17999987975,-103.74584197998,0,0,0
17999987987.5,-103.860572814941,0,0,0
17999988000,-99.6772918701172,0,0,0
17999988012.5,-95.0079345703125,0,0,0
17999988025,-91.7717514038086,0,0,0
17999988037.5,-91.0833206176758,0,0,0
17999988050,-94.1477584838867,0,0,0
17999988062.5,-102.031700134277,0,0,0
17999988075,-108.578285217285,0,0,0
17999988087.5,-106.300415039062,0,0,0
17999988100,-100.005744934082,0,0,0
17999988112.5,-96.8350524902344,0,0,0
17999988125,-98.8070526123047,0,0,0
17999988137.5,-111.163070678711,0,0,0
17999988150,-101.839431762695,0,0,0
17999988162.5,-94.4663009643555,0,0,0
17999988175,-90.2337875366211,0,0,0
17999988187.5,-89.0641021728516,0,0,0
17999988200,-91.9984970092773,0,0,0
17999988212.5,-102.898933410645,0,0,0
17999988225,-105.411636352539,0,0,0
17999988237.5,-98.4800720214844,0,0,0
17999988250,-97.7287521362305,0,0,0
17999988262.5,-102.02645111084,0,0,0
17999988275,-108.994773864746,0,0,0
17999988287.5,-110.795379638672,0,0,0
17999988300,-118.707931518555,0,0,0
17999988312.5,-101.072601318359,0,0,0
17999988325,-95.6527481079102,0,0,0
17999988337.5,-96.9597549438477,0,0,0
17999988350,-101.535339355469,0,0,0
17999988362.5,-105.980018615723,0,0,0
17999988375,-112.100204467773,0,0,0
17999988387.5,-109.26676940918,0,0,0
17999988400,-103.558288574219,0,0,0
17999988412.5,-100.796447753906,0,0,0
17999988425,-97.0650787353516,0,0,0
17999988437.5,-96.2452774047852,0,0,0
17999988450,-102.546699523926,0,0,0
17999988462.5,-106.638061523437,0,0,0
17999988475,-99.4216690063477,0,0,0
17999988487.5,-98.4135055541992,0,0,0
17999988500,-101.270202636719,0,0,0
17999988512.5,-101.672172546387,0,0,0
17999988525,-99.9272918701172,0,0,0
17999988537.5,-98.4396286010742,0,0,0
17999988550,-97.3933868408203,0,0,0
17999988562.5,-96.9424819946289,0,0,0
17999988575,-97.9515686035156,0,0,0
17999988587.5,-98.6348648071289,0,0,0
17999988600,-95.9926605224609,0,0,0
17999988612.5,-91.9634857177734,0,0,0
17999988625,-91.0088348388672,0,0,0
17999988637.5,-95.1584854125977,0,0,0
17999988650,-116.621490478516,0,0,0
17999988662.5,-100.953689575195,0,0,0
17999988675,-104.623916625977,0,0,0
17999988687.5,-109.565422058105,0,0,0
17999988700,-99.8520965576172,0,0,0
17999988712.5,-101.604759216309,0,0,0
17999988725,-93.1732330322266,0,0,0
17999988737.5,-87.5902709960938,0,0,0
17999988750,-86.6888961791992,0,0,0
17999988762.5,-90.0508422851563,0,0,0
17999988775,-98.823616027832,0,0,0
17999988787.5,-106.544677734375,0,0,0
17999988800,-103.549087524414,0,0,0
17999988812.5,-100.970726013184,0,0,0
17999988825,-101.291580200195,0,0,0
17999988837.5,-105.43724822998,0,0,0
17999988850,-103.031951904297,0,0,0
17999988862.5,-95.6627578735352,0,0,0
17999988875,-93.6002426147461,0,0,0
17999988887.5,-96.0643997192383,0,0,0
17999988900,-104.745094299316,0,0,0
17999988912.5,-115.20287322998,0,0,0
17999988925,-104.201164245605,0,0,0
17999988937.5,-105.208427429199,0,0,0
17999988950,-108.92440032959,0,0,0
17999988962.5,-113.181083679199,0,0,0
17999988975,-110.647872924805,0,0,0
17999988987.5,-104.827270507812,0,0,0
17999989000,-100.801795959473,0,0,0
17999989012.5,-98.1048126220703,0,0,0
17999989025,-97.2898406982422,0,0,0
17999989037.5,-98.9025802612305,0,0,0
17999989050,-104.651802062988,0,0,0
17999989062.5,-107.708526611328,0,0,0
17999989075,-103.314109802246,0,0,0
17999989087.5,-103.773460388184,0,0,0
17999989100,-105.315872192383,0,0,0
17999989112.5,-99.7176971435547,0,0,0
17999989125,-95.6074905395508,0,0,0
17999989137.5,-94.3421325683594,0,0,0
17999989150,-93.1808853149414,0,0,0
17999989162.5,-92.1539688110352,0,0,0
17999989175,-94.0028305053711,0,0,0
17999989187.5,-97.7001419067383,0,0,0
17999989200,-95.5911178588867,0,0,0
17999989212.5,-93.7035217285156,0,0,0
17999989225,-95.8645858764648,0,0,0
17999989237.5,-102.715484619141,0,0,0
17999989250,-106.814010620117,0,0,0
17999989262.5,-108.52906036377,0,0,0
17999989275,-108.753372192383,0,0,0
17999989287.5,-96.8767318725586,0,0,0
17999989300,-92.82080078125,0,0,0
17999989312.5,-93.4234161376953,0,0,0
17999989325,-96.6721954345703,0,0,0
17999989337.5,-99.6625595092773,0,0,0
17999989350,-100.333053588867,0,0,0
17999989362.5,-100.829139709473,0,0,0
17999989375,-103.700241088867,0,0,0
17999989387.5,-104.054962158203,0,0,0
17999989400,-98.6395034790039,0,0,0
17999989412.5,-94.1861572265625,0,0,0
17999989425,-92.6548690795898,0,0,0
17999989437.5,-93.7357559204102,0,0,0
17999989450,-96.3764266967773,0,0,0
17999989462.5,-98.4674835205078,0,0,0
17999989475,-98.7654495239258,0,0,0
17999989487.5,-97.7682800292969,0,0,0
17999989500,-95.9631958007813,0,0,0
17999989512.5,-93.8405990600586,0,0,0
17999989525,-91.8159103393555,0,0,0
17999989537.5,-91.1250457763672,0,0,0
17999989550,-91.9162216186523,0,0,0
17999989562.5,-90.2658309936523,0,0,0
17999989575,-90.0153198242187,0,0,0
17999989587.5,-115.473129272461,0,0,0
17999989600,-93.8157348632812,0,0,0
17999989612.5,-86.5713272094727,0,0,0
17999989625,-85.6520385742188,0,0,0
17999989637.5,-89.0169296264648,0,0,0
17999989650,-98.2736206054688,0,0,0
17999989662.5,-111.118179321289,0,0,0
17999989675,-105.510948181152,0,0,0
17999989687.5,-105.540916442871,0,0,0
17999989700,-92.3435745239258,0,0,0
17999989712.5,-88.8175277709961,0,0,0
17999989725,-88.2564086914063,0,0,0
17999989737.5,-91.9088821411133,0,0,0
17999989750,-96.4212112426758,0,0,0
17999989762.5,-99.7039566040039,0,0,0
17999989775,-112.237190246582,0,0,0
17999989787.5,-105.788116455078,0,0,0
17999989800,-96.4152908325195,0,0,0
17999989812.5,-91.8259811401367,0,0,0
17999989825,-89.6723098754883,0,0,0
17999989837.5,-87.2816390991211,0,0,0
17999989850,-83.7254867553711,0,0,0
17999989862.5,-81.8125076293945,0,0,0
17999989875,-83.1915740966797,0,0,0
17999989887.5,-87.8894119262695,0,0,0
17999989900,-91.4264678955078,0,0,0
17999989912.5,-89.3086624145508,0,0,0
17999989925,-87.0112686157227,0,0,0
17999989937.5,-88.3180160522461,0,0,0
17999989950,-92.5021896362305,0,0,0
17999989962.5,-97.3088607788086,0,0,0
17999989975,-98.8081817626953,0,0,0
17999989987.5,-96.3380966186523,0,0,0
17999990000,-91.2601470947266,0,0,0
17999990012.5,-87.0915222167969,0,0,0
17999990025,-85.8931121826172,0,0,0
17999990037.5,-88.3742523193359,0,0,0
17999990050,-93.9521560668945,0,0,0
17999990062.5,-99.8984909057617,0,0,0
17999990075,-102.095092773437,0,0,0
17999990087.5,-99.6880950927734,0,0,0
17999990100,-93.8127288818359,0,0,0
17999990112.5,-88.5074844360352,0,0,0
17999990125,-86.5042266845703,0,0,0
17999990137.5,-88.3618698120117,0,0,0
17999990150,-94.2330169677734,0,0,0
17999990162.5,-99.9899139404297,0,0,0
17999990175,-101.886161804199,0,0,0
17999990187.5,-103.568450927734,0,0,0
17999990200,-97.1290969848633,0,0,0
17999990212.5,-88.7430267333984,0,0,0
17999990225,-85.3552856445312,0,0,0
17999990237.5,-86.6253051757813,0,0,0
17999990250,-92.4996109008789,0,0,0
17999990262.5,-101.39183807373,0,0,0
17999990275,-103.802856445312,0,0,0
17999990287.5,-99.9686279296875,0,0,0
17999990300,-93.8902130126953,0,0,0
17999990312.5,-87.7380981445313,0,0,0
17999990325,-85.8469390869141,0,0,0
17999990337.5,-88.653694152832,0,0,0
17999990350,-94.9459533691406,0,0,0
17999990362.5,-96.9615936279297,0,0,0
17999990375,-97.4573822021484,0,0,0
17999990387.5,-78.0170364379883,0,0,0
17999990400,-65.1059646606445,0,0,0
17999990412.5,-58.3820419311523,0,0,0
17999990425,-56.197452545166,0,0,0
17999990437.5,-58.1711502075195,0,0,0
17999990450,-64.5146789550781,0,0,0
17999990462.5,-76.0771865844727,0,0,0
17999990475,-88.3046264648437,0,0,0
17999990487.5,-93.471923828125,0,0,0
17999990500,-95.0985641479492,0,0,0
17999990512.5,-90.9928817749023,0,0,0
17999990525,-86.7674865722656,0,0,0
17999990537.5,-87.737060546875,0,0,0
17999990550,-92.2194900512695,0,0,0
17999990562.5,-96.4460296630859,0,0,0
17999990575,-95.9035873413086,0,0,0
17999990587.5,-95.1388320922852,0,0,0
17999990600,-93.6254272460938,0,0,0
17999990612.5,-89.5808258056641,0,0,0
17999990625,-87.7740325927734,0,0,0
17999990637.5,-90.6791076660156,0,0,0
17999990650,-101.413368225098,0,0,0
17999990662.5,-111.918296813965,0,0,0
17999990675,-109.887847900391,0,0,0
17999990687.5,-104.75560760498,0,0,0
17999990700,-98.2716674804688,0,0,0
17999990712.5,-91.1807174682617,0,0,0
17999990725,-87.9516830444336,0,0,0
17999990737.5,-89.0569534301758,0,0,0
17999990750,-92.2604751586914,0,0,0
17999990762.5,-94.6862106323242,0,0,0
17999990775,-96.3146057128906,0,0,0
17999990787.5,-98.295539855957,0,0,0
17999990800,-96.2844619750977,0,0,0
17999990812.5,-90.2109451293945,0,0,0
17999990825,-86.4794311523438,0,0,0
17999990837.5,-87.0437927246094,0,0,0
