Freq,Power,na,na,na
19499985500,-96.8875350952148,0,0,0
19499985512.5,-93.9300537109375,0,0,0
19499985525,-93.3491668701172,0,0,0
19499985537.5,-95.2137756347656,0,0,0
19499985550,-98.7251815795898,0,0,0
19499985562.5,-100.895973205566,0,0,0
19499985575,-101.928108215332,0,0,0
19499985587.5,-105.07039642334,0,0,0
19499985600,-97.7658920288086,0,0,0
19499985612.5,-92.7992935180664,0,0,0
19499985625,-93.7395248413086,0,0,0
19499985637.5,-100.045745849609,0,0,0
19499985650,-109.28776550293,0,0,0
19499985662.5,-107.158012390137,0,0,0
19499985675,-98.1895446777344,0,0,0
19499985687.5,-94.92431640625,0,0,0
19499985700,-96.8580169677734,0,0,0
19499985712.5,-111.095184326172,0,0,0
19499985725,-105.668327331543,0,0,0
19499985737.5,-102.826133728027,0,0,0
19499985750,-106.456062316895,0,0,0
19499985762.5,-108.629028320313,0,0,0
19499985775,-106.029884338379,0,0,0
19499985787.5,-105.561012268066,0,0,0
19499985800,-104.114196777344,0,0,0
19499985812.5,-93.600227355957,0,0,0
19499985825,-90.8776321411133,0,0,0
19499985837.5,-92.7718811035156,0,0,0
19499985850,-101.369117736816,0,0,0
19499985862.5,-105.196739196777,0,0,0
19499985875,-100.878730773926,0,0,0
19499985887.5,-102.783226013184,0,0,0
19499985900,-112.580009460449,0,0,0
19499985912.5,-104.832374572754,0,0,0
19499985925,-101.615074157715,0,0,0
19499985937.5,-102.766578674316,0,0,0
19499985950,-107.536994934082,0,0,0
19499985962.5,-102.043899536133,0,0,0
19499985975,-99.5770950317383,0,0,0
19499985987.5,-106.964279174805,0,0,0
19499986000,-101.681114196777,0,0,0
19499986012.5,-97.1199798583984,0,0,0
19499986025,-98.1287536621094,0,0,0
19499986037.5,-97.6341705322266,0,0,0
19499986050,-99.3299560546875,0,0,0
19499986062.5,-107.44800567627,0,0,0
19499986075,-102.368461608887,0,0,0
19499986087.5,-97.3640213012695,0,0,0
19499986100,-96.0767135620117,0,0,0
19499986112.5,-95.3833847045898,0,0,0
19499986125,-95.0586242675781,0,0,0
19499986137.5,-95.9966506958008,0,0,0
19499986150,-98.169807434082,0,0,0
19499986162.5,-100.107627868652,0,0,0
19499986175,-100.174179077148,0,0,0
19499986187.5,-101.502418518066,0,0,0
19499986200,-106.909210205078,0,0,0
19499986212.5,-105.00309753418,0,0,0
19499986225,-95.6282043457031,0,0,0
19499986237.5,-91.7368011474609,0,0,0
19499986250,-91.0189361572266,0,0,0
19499986262.5,-93.6820449829102,0,0,0
19499986275,-96.5977783203125,0,0,0
19499986287.5,-97.1095962524414,0,0,0
19499986300,-97.3114929199219,0,0,0
19499986312.5,-100.430442810059,0,0,0
19499986325,-105.215545654297,0,0,0
19499986337.5,-110.828086853027,0,0,0
19499986350,-96.9309310913086,0,0,0
19499986362.5,-88.9321517944336,0,0,0
19499986375,-85.7276229858398,0,0,0
19499986387.5,-86.3405456542969,0,0,0
19499986400,-89.6026992797852,0,0,0
19499986412.5,-94.1051177978516,0,0,0
19499986425,-97.8362426757813,0,0,0
19499986437.5,-100.149291992187,0,0,0
19499986450,-99.5766372680664,0,0,0
19499986462.5,-100.288780212402,0,0,0
19499986475,-108.26815032959,0,0,0
19499986487.5,-104.80184173584,0,0,0
19499986500,-99.6556625366211,0,0,0
19499986512.5,-95.483512878418,0,0,0
19499986525,-93.8514862060547,0,0,0
19499986537.5,-94.0340270996094,0,0,0
19499986550,-93.8991775512695,0,0,0
19499986562.5,-94.3994979858398,0,0,0
19499986575,-96.9726867675781,0,0,0
19499986587.5,-103.821853637695,0,0,0
19499986600,-108.940582275391,0,0,0
19499986612.5,-108.932716369629,0,0,0
19499986625,-103.146148681641,0,0,0
19499986637.5,-96.3589248657227,0,0,0
19499986650,-93.3327941894531,0,0,0
19499986662.5,-93.7038650512695,0,0,0
19499986675,-95.8426055908203,0,0,0
19499986687.5,-101.023040771484,0,0,0
