Freq,Power,na,na,na
19499987500,-111.545219421387,0,0,0
19499987512.5,-112.846969604492,0,0,0
19499987525,-104.066390991211,0,0,0
19499987537.5,-98.4213714599609,0,0,0
19499987550,-96.7070465087891,0,0,0
19499987562.5,-96.5281143188477,0,0,0
19499987575,-97.4333419799805,0,0,0
19499987587.5,-98.5598907470703,0,0,0
19499987600,-99.0444107055664,0,0,0
19499987612.5,-99.0122985839844,0,0,0
19499987625,-99.7842102050781,0,0,0
19499987637.5,-108.427604675293,0,0,0
19499987650,-112.208358764648,0,0,0
19499987662.5,-104.629295349121,0,0,0
19499987675,-120.694190979004,0,0,0
19499987687.5,-113.438735961914,0,0,0
19499987700,-103.366943359375,0,0,0
19499987712.5,-101.619651794434,0,0,0
19499987725,-101.135452270508,0,0,0
19499987737.5,-102.713134765625,0,0,0
19499987750,-104.702171325684,0,0,0
19499987762.5,-105.628318786621,0,0,0
19499987775,-108.747940063477,0,0,0
19499987787.5,-104.784355163574,0,0,0
19499987800,-100.391082763672,0,0,0
19499987812.5,-99.8125534057617,0,0,0
19499987825,-104.477264404297,0,0,0
19499987837.5,-108.710372924805,0,0,0
19499987850,-107.456130981445,0,0,0
19499987862.5,-104.091369628906,0,0,0
19499987875,-99.5971603393555,0,0,0
19499987887.5,-100.772750854492,0,0,0
19499987900,-110.980316162109,0,0,0
19499987912.5,-108.372901916504,0,0,0
19499987925,-104.385414123535,0,0,0
19499987937.5,-101.976387023926,0,0,0
19499987950,-100.695388793945,0,0,0
19499987962.5,-98.3433303833008,0,0,0
19499987975,-96.7233657836914,0,0,0
19499987987.5,-95.0765914916992,0,0,0
19499988000,-93.6239547729492,0,0,0
19499988012.5,-94.2185897827148,0,0,0
19499988025,-95.9716262817383,0,0,0
19499988037.5,-95.8709945678711,0,0,0
19499988050,-93.4791107177734,0,0,0
19499988062.5,-91.6205596923828,0,0,0
19499988075,-91.1571273803711,0,0,0
19499988087.5,-91.7471160888672,0,0,0
19499988100,-93.9168472290039,0,0,0
19499988112.5,-99.4878845214844,0,0,0
19499988125,-99.9776306152344,0,0,0
19499988137.5,-94.4200668334961,0,0,0
19499988150,-93.5018310546875,0,0,0
19499988162.5,-95.842903137207,0,0,0
19499988175,-97.0695419311523,0,0,0
19499988187.5,-97.734375,0,0,0
19499988200,-101.87126159668,0,0,0
19499988212.5,-106.800109863281,0,0,0
19499988225,-105.389930725098,0,0,0
19499988237.5,-100.482498168945,0,0,0
19499988250,-98.8227233886719,0,0,0
19499988262.5,-106.418739318848,0,0,0
19499988275,-106.546920776367,0,0,0
19499988287.5,-99.7258453369141,0,0,0
19499988300,-97.8184661865234,0,0,0
19499988312.5,-98.9360427856445,0,0,0
19499988325,-101.680473327637,0,0,0
19499988337.5,-103.135650634766,0,0,0
19499988350,-103.264068603516,0,0,0
19499988362.5,-100.218460083008,0,0,0
19499988375,-95.9402160644531,0,0,0
19499988387.5,-94.4145202636719,0,0,0
19499988400,-96.2495727539063,0,0,0
19499988412.5,-98.4070663452148,0,0,0
19499988425,-96.194206237793,0,0,0
19499988437.5,-96.6996994018555,0,0,0
19499988450,-102.206687927246,0,0,0
19499988462.5,-105.74284362793,0,0,0
19499988475,-102.529525756836,0,0,0
19499988487.5,-100.996673583984,0,0,0
19499988500,-100.245124816895,0,0,0
19499988512.5,-99.6465148925781,0,0,0
19499988525,-96.8163070678711,0,0,0
19499988537.5,-94.7228622436523,0,0,0
19499988550,-96.5823135375977,0,0,0
19499988562.5,-103.604682922363,0,0,0
19499988575,-106.377861022949,0,0,0
19499988587.5,-98.8008804321289,0,0,0
19499988600,-96.2913436889648,0,0,0
19499988612.5,-95.2926406860352,0,0,0
19499988625,-95.0015258789062,0,0,0
19499988637.5,-96.4225387573242,0,0,0
19499988650,-97.5623092651367,0,0,0
19499988662.5,-98.4936828613281,0,0,0
19499988675,-99.7220611572266,0,0,0
19499988687.5,-100.939804077148,0,0,0
19499988700,-104.20694732666,0,0,0
19499988712.5,-109.240020751953,0,0,0
19499988725,-102.43376159668,0,0,0
19499988737.5,-97.2666778564453,0,0,0
19499988750,-96.4425888061523,0,0,0
19499988762.5,-99.9183120727539,0,0,0
19499988775,-104.666763305664,0,0,0
19499988787.5,-107.037536621094,0,0,0
19499988800,-115.84245300293,0,0,0
19499988812.5,-106.982604980469,0,0,0
19499988825,-97.5287475585937,0,0,0
19499988837.5,-95.6310882568359,0,0,0
19499988850,-95.3705368041992,0,0,0
19499988862.5,-95.9967803955078,0,0,0
19499988875,-98.2795562744141,0,0,0
19499988887.5,-107.231872558594,0,0,0
19499988900,-104.593269348145,0,0,0
19499988912.5,-97.3083190917969,0,0,0
19499988925,-96.5200881958008,0,0,0
19499988937.5,-98.7675018310547,0,0,0
19499988950,-103.733917236328,0,0,0
19499988962.5,-102.989303588867,0,0,0
19499988975,-108.45565032959,0,0,0
19499988987.5,-105.248970031738,0,0,0
19499989000,-95.5542373657227,0,0,0
19499989012.5,-91.2800369262695,0,0,0
19499989025,-89.478889465332,0,0,0
19499989037.5,-90.3047561645508,0,0,0
19499989050,-94.4036636352539,0,0,0
19499989062.5,-101.564186096191,0,0,0
19499989075,-105.347953796387,0,0,0
19499989087.5,-101.000625610352,0,0,0
19499989100,-98.2151107788086,0,0,0
19499989112.5,-100.16268157959,0,0,0
19499989125,-102.038238525391,0,0,0
19499989137.5,-99.7269134521484,0,0,0
19499989150,-96.9427032470703,0,0,0
19499989162.5,-95.8693771362305,0,0,0
19499989175,-98.2531890869141,0,0,0
19499989187.5,-101.809829711914,0,0,0
19499989200,-101.11181640625,0,0,0
19499989212.5,-97.8828353881836,0,0,0
19499989225,-95.8070526123047,0,0,0
19499989237.5,-96.0769348144531,0,0,0
19499989250,-97.160888671875,0,0,0
19499989262.5,-97.0536422729492,0,0,0
19499989275,-97.3513641357422,0,0,0
19499989287.5,-100.154197692871,0,0,0
19499989300,-106.620315551758,0,0,0
19499989312.5,-109.083137512207,0,0,0
19499989325,-104.746780395508,0,0,0
19499989337.5,-101.408348083496,0,0,0
19499989350,-98.4181823730469,0,0,0
19499989362.5,-95.6577835083008,0,0,0
19499989375,-93.9008407592773,0,0,0
19499989387.5,-94.2085266113281,0,0,0
19499989400,-96.2001266479492,0,0,0
19499989412.5,-99.932258605957,0,0,0
19499989425,-103.138221740723,0,0,0
19499989437.5,-102.74796295166,0,0,0
19499989450,-100.073196411133,0,0,0
19499989462.5,-97.3174209594727,0,0,0
19499989475,-95.9280090332031,0,0,0
19499989487.5,-95.0469207763672,0,0,0
19499989500,-94.42724609375,0,0,0
19499989512.5,-96.0633697509766,0,0,0
19499989525,-101.937026977539,0,0,0
19499989537.5,-111.014457702637,0,0,0
19499989550,-108.545028686523,0,0,0
19499989562.5,-101.459953308105,0,0,0
19499989575,-99.1968383789062,0,0,0
19499989587.5,-98.3922119140625,0,0,0
19499989600,-98.1728515625,0,0,0
19499989612.5,-98.7038803100586,0,0,0
19499989625,-97.8308334350586,0,0,0
19499989637.5,-96.1440658569336,0,0,0
19499989650,-95.2913360595703,0,0,0
19499989662.5,-95.4026107788086,0,0,0
19499989675,-96.2326736450195,0,0,0
19499989687.5,-97.5443572998047,0,0,0
19499989700,-98.254150390625,0,0,0
19499989712.5,-99.9211502075195,0,0,0
19499989725,-102.112274169922,0,0,0
19499989737.5,-101.053413391113,0,0,0
19499989750,-99.9219055175781,0,0,0
19499989762.5,-103.711990356445,0,0,0
19499989775,-100.951477050781,0,0,0
19499989787.5,-96.4976806640625,0,0,0
