Freq,Power,na,na,na
19499984500,-95.6460266113281,0,0,0
19499984512.5,-95.8444900512695,0,0,0
19499984525,-100.982864379883,0,0,0
19499984537.5,-102.361854553223,0,0,0
19499984550,-95.4677505493164,0,0,0
19499984562.5,-94.4272384643555,0,0,0
19499984575,-99.3896026611328,0,0,0
19499984587.5,-88.3040161132813,0,0,0
19499984600,-81.2252578735352,0,0,0
19499984612.5,-78.8485336303711,0,0,0
19499984625,-80.6081466674805,0,0,0
19499984637.5,-86.1088256835938,0,0,0
19499984650,-93.263298034668,0,0,0
19499984662.5,-99.8539886474609,0,0,0
19499984675,-110.687080383301,0,0,0
19499984687.5,-104.379516601562,0,0,0
19499984700,-97.5741577148437,0,0,0
19499984712.5,-97.1150360107422,0,0,0
19499984725,-99.2499389648437,0,0,0
19499984737.5,-89.1151123046875,0,0,0
19499984750,-83.4664764404297,0,0,0
19499984762.5,-82.3296585083008,0,0,0
19499984775,-85.4546966552734,0,0,0
19499984787.5,-90.9898071289062,0,0,0
19499984800,-93.9794845581055,0,0,0
19499984812.5,-96.2923126220703,0,0,0
19499984825,-102.144424438477,0,0,0
19499984837.5,-100.924087524414,0,0,0
19499984850,-94.4790496826172,0,0,0
19499984862.5,-93.9827194213867,0,0,0
19499984875,-92.2682189941406,0,0,0
19499984887.5,-89.6479568481445,0,0,0
19499984900,-90.1865539550781,0,0,0
19499984912.5,-95.2137451171875,0,0,0
19499984925,-110.597564697266,0,0,0
19499984937.5,-96.7864837646484,0,0,0
19499984950,-95.4546661376953,0,0,0
19499984962.5,-99.4007263183594,0,0,0
19499984975,-100.48649597168,0,0,0
19499984987.5,-97.7508163452148,0,0,0
19499985000,-99.7118377685547,0,0,0
19499985012.5,-100.961715698242,0,0,0
19499985025,-91.4625701904297,0,0,0
19499985037.5,-83.34716796875,0,0,0
19499985050,-81.8608627319336,0,0,0
19499985062.5,-84.8644104003906,0,0,0
19499985075,-93.01708984375,0,0,0
19499985087.5,-110.829956054687,0,0,0
19499985100,-107.803565979004,0,0,0
19499985112.5,-102.442687988281,0,0,0
19499985125,-104.081321716309,0,0,0
19499985137.5,-110.559677124023,0,0,0
19499985150,-98.0055618286133,0,0,0
19499985162.5,-87.399772644043,0,0,0
19499985175,-80.1177749633789,0,0,0
19499985187.5,-76.8103256225586,0,0,0
19499985200,-78.1134643554687,0,0,0
19499985212.5,-84.5283355712891,0,0,0
19499985225,-98.7541046142578,0,0,0
19499985237.5,-108.11791229248,0,0,0
19499985250,-102.135101318359,0,0,0
19499985262.5,-97.7043380737305,0,0,0
19499985275,-94.5506362915039,0,0,0
19499985287.5,-92.2936935424805,0,0,0
19499985300,-93.7718124389648,0,0,0
19499985312.5,-92.7658920288086,0,0,0
19499985325,-87.5312271118164,0,0,0
19499985337.5,-86.1931686401367,0,0,0
19499985350,-88.4120635986328,0,0,0
19499985362.5,-91.0472793579102,0,0,0
19499985375,-93.370849609375,0,0,0
19499985387.5,-95.0182037353516,0,0,0
19499985400,-93.5114669799805,0,0,0
19499985412.5,-92.6154403686523,0,0,0
19499985425,-91.8199005126953,0,0,0
19499985437.5,-91.1845932006836,0,0,0
19499985450,-95.6496810913086,0,0,0
19499985462.5,-102.871932983398,0,0,0
19499985475,-93.731315612793,0,0,0
19499985487.5,-91.759880065918,0,0,0
19499985500,-96.5701751708984,0,0,0
19499985512.5,-107.111083984375,0,0,0
19499985525,-101.154434204102,0,0,0
19499985537.5,-100.338249206543,0,0,0
19499985550,-103.475296020508,0,0,0
19499985562.5,-102.373474121094,0,0,0
19499985575,-98.9848251342773,0,0,0
19499985587.5,-96.9845428466797,0,0,0
19499985600,-89.8647384643555,0,0,0
19499985612.5,-83.215576171875,0,0,0
19499985625,-81.3799819946289,0,0,0
19499985637.5,-83.7411651611328,0,0,0
19499985650,-91.1917495727539,0,0,0
19499985662.5,-99.7557525634766,0,0,0
19499985675,-99.4391098022461,0,0,0
19499985687.5,-100.782501220703,0,0,0
19499985700,-101.921829223633,0,0,0
19499985712.5,-101.095626831055,0,0,0
19499985725,-94.7045135498047,0,0,0
19499985737.5,-85.260612487793,0,0,0
19499985750,-78.1631164550781,0,0,0
19499985762.5,-74.7547454833984,0,0,0
19499985775,-75.8125228881836,0,0,0
19499985787.5,-80.8545074462891,0,0,0
19499985800,-102.455337524414,0,0,0
19499985812.5,-99.4994125366211,0,0,0
19499985825,-90.5337600708008,0,0,0
19499985837.5,-88.3978652954102,0,0,0
19499985850,-88.7642974853516,0,0,0
19499985862.5,-90.5953521728516,0,0,0
19499985875,-94.7275772094727,0,0,0
19499985887.5,-93.3719024658203,0,0,0
19499985900,-85.510383605957,0,0,0
19499985912.5,-83.3028030395508,0,0,0
19499985925,-85.8943099975586,0,0,0
19499985937.5,-92.5714950561523,0,0,0
19499985950,-96.3477020263672,0,0,0
19499985962.5,-94.9258575439453,0,0,0
19499985975,-95.1347122192383,0,0,0
19499985987.5,-96.6402893066406,0,0,0
19499986000,-98.8118209838867,0,0,0
19499986012.5,-99.1899642944336,0,0,0
19499986025,-99.738151550293,0,0,0
19499986037.5,-99.0844268798828,0,0,0
19499986050,-98.4372253417969,0,0,0
19499986062.5,-102.905288696289,0,0,0
19499986075,-99.6437683105469,0,0,0
19499986087.5,-98.0690231323242,0,0,0
19499986100,-105.773826599121,0,0,0
19499986112.5,-102.777816772461,0,0,0
19499986125,-96.7151565551758,0,0,0
19499986137.5,-97.3328628540039,0,0,0
19499986150,-99.0536727905273,0,0,0
19499986162.5,-98.3193893432617,0,0,0
19499986175,-95.2159118652344,0,0,0
19499986187.5,-89.8963851928711,0,0,0
19499986200,-86.2733383178711,0,0,0
19499986212.5,-87.4294586181641,0,0,0
19499986225,-93.2490539550781,0,0,0
19499986237.5,-112.062652587891,0,0,0
19499986250,-96.9547500610352,0,0,0
19499986262.5,-92.2500915527344,0,0,0
19499986275,-91.7472763061523,0,0,0
19499986287.5,-93.6718063354492,0,0,0
19499986300,-96.3909759521484,0,0,0
19499986312.5,-95.9157867431641,0,0,0
19499986325,-80.5083999633789,0,0,0
19499986337.5,-75.0826263427734,0,0,0
19499986350,-74.0865936279297,0,0,0
19499986362.5,-77.6794357299805,0,0,0
19499986375,-85.7419586181641,0,0,0
19499986387.5,-91.3701477050781,0,0,0
19499986400,-92.2836151123047,0,0,0
19499986412.5,-94.5001754760742,0,0,0
19499986425,-98.4237442016602,0,0,0
19499986437.5,-98.9428329467773,0,0,0
19499986450,-97.6979446411133,0,0,0
19499986462.5,-96.349983215332,0,0,0
19499986475,-89.2867202758789,0,0,0
19499986487.5,-85.0797805786133,0,0,0
19499986500,-86.191291809082,0,0,0
19499986512.5,-93.9807357788086,0,0,0
19499986525,-104.279579162598,0,0,0
19499986537.5,-105.126121520996,0,0,0
19499986550,-106.74787902832,0,0,0
19499986562.5,-101.860542297363,0,0,0
19499986575,-96.9565200805664,0,0,0
19499986587.5,-96.1561660766602,0,0,0
19499986600,-94.9107360839844,0,0,0
19499986612.5,-94.3463592529297,0,0,0
19499986625,-97.4117660522461,0,0,0
19499986637.5,-100.601684570312,0,0,0
19499986650,-100.359603881836,0,0,0
19499986662.5,-98.0035552978516,0,0,0
19499986675,-95.5633850097656,0,0,0
19499986687.5,-98.72998046875,0,0,0
19499986700,-105.486846923828,0,0,0
19499986712.5,-104.11767578125,0,0,0
19499986725,-100.163047790527,0,0,0
19499986737.5,-98.5200500488281,0,0,0
19499986750,-93.3834991455078,0,0,0
19499986762.5,-87.5998077392578,0,0,0
19499986775,-84.4435043334961,0,0,0
19499986787.5,-84.8972244262695,0,0,0
19499986800,-86.8190155029297,0,0,0
19499986812.5,-88.8653182983398,0,0,0
19499986825,-90.7103042602539,0,0,0
19499986837.5,-93.4276123046875,0,0,0
19499986850,-96.1176910400391,0,0,0
19499986862.5,-95.858024597168,0,0,0
19499986875,-95.6818313598633,0,0,0
19499986887.5,-93.5542526245117,0,0,0
19499986900,-85.5292282104492,0,0,0
19499986912.5,-79.8853073120117,0,0,0
19499986925,-78.3921661376953,0,0,0
19499986937.5,-81.2001953125,0,0,0
19499986950,-88.5509567260742,0,0,0
19499986962.5,-95.2297286987305,0,0,0
19499986975,-95.3316345214844,0,0,0
19499986987.5,-94.2510070800781,0,0,0
19499987000,-95.3199234008789,0,0,0
19499987012.5,-103.791656494141,0,0,0
19499987025,-102.053558349609,0,0,0
19499987037.5,-94.5974731445312,0,0,0
19499987050,-89.7280578613281,0,0,0
19499987062.5,-85.8400802612305,0,0,0
19499987075,-85.2398681640625,0,0,0
19499987087.5,-89.6353530883789,0,0,0
19499987100,-96.3477783203125,0,0,0
19499987112.5,-102.890716552734,0,0,0
19499987125,-105.610214233398,0,0,0
19499987137.5,-102.24715423584,0,0,0
19499987150,-97.3281402587891,0,0,0
19499987162.5,-96.2678527832031,0,0,0
