Freq,Power,na,na,na
19499991450,-100.855911254883,0,0,0
19499991451.25,-104.198600769043,0,0,0
19499991452.5,-111.492614746094,0,0,0
19499991453.75,-109.20711517334,0,0,0
19499991455,-108.583702087402,0,0,0
19499991456.25,-110.443252563477,0,0,0
19499991457.5,-112.259757995605,0,0,0
19499991458.75,-112.888809204102,0,0,0
19499991460,-110.127418518066,0,0,0
19499991461.25,-111.165794372559,0,0,0
19499991462.5,-127.929588317871,0,0,0
19499991463.75,-111.128639221191,0,0,0
19499991465,-105.972755432129,0,0,0
19499991466.25,-105.427879333496,0,0,0
19499991467.5,-109.603523254395,0,0,0
19499991468.75,-119.071304321289,0,0,0
19499991470,-124.810569763184,0,0,0
19499991471.25,-117.586799621582,0,0,0
19499991472.5,-116.534683227539,0,0,0
19499991473.75,-123.23112487793,0,0,0
19499991475,-108.31315612793,0,0,0
19499991476.25,-103.652793884277,0,0,0
19499991477.5,-103.075241088867,0,0,0
19499991478.75,-107.014236450195,0,0,0
19499991480,-111.709846496582,0,0,0
19499991481.25,-111.006729125977,0,0,0
19499991482.5,-110.603050231934,0,0,0
19499991483.75,-109.15673828125,0,0,0
19499991485,-106.768562316895,0,0,0
19499991486.25,-106.244529724121,0,0,0
19499991487.5,-107.973121643066,0,0,0
19499991488.75,-109.379547119141,0,0,0
19499991490,-106.190238952637,0,0,0
19499991491.25,-103.115692138672,0,0,0
19499991492.5,-104.039337158203,0,0,0
19499991493.75,-106.637054443359,0,0,0
19499991495,-107.132392883301,0,0,0
19499991496.25,-106.473052978516,0,0,0
19499991497.5,-106.881706237793,0,0,0
19499991498.75,-105.705238342285,0,0,0
19499991500,-103.960823059082,0,0,0
19499991501.25,-104.745109558105,0,0,0
19499991502.5,-106.941101074219,0,0,0
19499991503.75,-106.818450927734,0,0,0
19499991505,-105.491020202637,0,0,0
19499991506.25,-108.118980407715,0,0,0
19499991507.5,-121.576377868652,0,0,0
19499991508.75,-108.298500061035,0,0,0
19499991510,-105.840019226074,0,0,0
19499991511.25,-108.128372192383,0,0,0
19499991512.5,-112.904579162598,0,0,0
19499991513.75,-112.156433105469,0,0,0
19499991515,-107.69164276123,0,0,0
19499991516.25,-103.595672607422,0,0,0
19499991517.5,-100.225959777832,0,0,0
19499991518.75,-98.8796310424805,0,0,0
19499991520,-100.395210266113,0,0,0
