Freq,Power,na,na,na
19499950000,-63.7038917541504,0,0,0
19499950250,-67.0294647216797,0,0,0
19499950500,-69.5493698120117,0,0,0
19499950750,-69.9923248291016,0,0,0
19499951000,-71.0846176147461,0,0,0
19499951250,-74.6658020019531,0,0,0
19499951500,-80.8884201049805,0,0,0
19499951750,-86.227912902832,0,0,0
19499952000,-87.1272277832031,0,0,0
19499952250,-85.0639724731445,0,0,0
19499952500,-74.9324569702148,0,0,0
19499952750,-71.1335296630859,0,0,0
19499953000,-70.8203048706055,0,0,0
19499953250,-71.2252960205078,0,0,0
19499953500,-68.158821105957,0,0,0
19499953750,-66.5727996826172,0,0,0
19499954000,-69.3350143432617,0,0,0
19499954250,-74.0974578857422,0,0,0
19499954500,-70.4615707397461,0,0,0
19499954750,-67.0965042114258,0,0,0
19499955000,-66.6473846435547,0,0,0
19499955250,-69.9208602905273,0,0,0
19499955500,-76.7089080810547,0,0,0
19499955750,-82.4372482299805,0,0,0
19499956000,-74.8297424316406,0,0,0
19499956250,-72.8082962036133,0,0,0
19499956500,-83.7429428100586,0,0,0
19499956750,-85.4397583007813,0,0,0
19499957000,-71.5435104370117,0,0,0
19499957250,-69.3393630981445,0,0,0
19499957500,-68.8930587768555,0,0,0
19499957750,-68.2258377075195,0,0,0
19499958000,-67.1831588745117,0,0,0
19499958250,-66.8716812133789,0,0,0
19499958500,-68.5274124145508,0,0,0
19499958750,-71.8630599975586,0,0,0
19499959000,-74.9995956420898,0,0,0
19499959250,-76.980224609375,0,0,0
19499959500,-76.1949157714844,0,0,0
19499959750,-73.5479278564453,0,0,0
19499960000,-69.9310073852539,0,0,0
19499960250,-66.9421005249023,0,0,0
19499960500,-65.9870758056641,0,0,0
19499960750,-67.0396423339844,0,0,0
19499961000,-70.0667572021484,0,0,0
19499961250,-81.601692199707,0,0,0
19499961500,-80.6062164306641,0,0,0
19499961750,-75.0109939575195,0,0,0
19499962000,-72.5920257568359,0,0,0
19499962250,-71.4638900756836,0,0,0
19499962500,-70.5722045898437,0,0,0
19499962750,-71.2278442382812,0,0,0
19499963000,-74.2785339355469,0,0,0
19499963250,-84.6586456298828,0,0,0
19499963500,-85.2554397583008,0,0,0
19499963750,-74.4530563354492,0,0,0
19499964000,-69.8386077880859,0,0,0
19499964250,-66.4953689575195,0,0,0
19499964500,-64.7795333862305,0,0,0
19499964750,-64.5112838745117,0,0,0
19499965000,-65.8579788208008,0,0,0
19499965250,-67.437858581543,0,0,0
19499965500,-68.8208160400391,0,0,0
19499965750,-70.0247955322266,0,0,0
19499966000,-71.9577713012695,0,0,0
19499966250,-76.5228042602539,0,0,0
19499966500,-81.6683654785156,0,0,0
19499966750,-85.0437088012695,0,0,0
19499967000,-80.8669281005859,0,0,0
19499967250,-71.0104751586914,0,0,0
19499967500,-68.3148956298828,0,0,0
19499967750,-69.7340621948242,0,0,0
19499968000,-76.6667709350586,0,0,0
19499968250,-72.7177047729492,0,0,0
19499968500,-67.654541015625,0,0,0
19499968750,-68.5693435668945,0,0,0
19499969000,-73.8104782104492,0,0,0
19499969250,-82.0811614990234,0,0,0
19499969500,-77.8168106079102,0,0,0
19499969750,-83.2435836791992,0,0,0
19499970000,-80.7159423828125,0,0,0
19499970250,-74.414665222168,0,0,0
19499970500,-70.5926818847656,0,0,0
19499970750,-69.8627624511719,0,0,0
19499971000,-70.1425170898438,0,0,0
19499971250,-70.4765090942383,0,0,0
19499971500,-70.4193420410156,0,0,0
19499971750,-69.4824905395508,0,0,0
19499972000,-68.4513778686523,0,0,0
19499972250,-68.7513809204102,0,0,0
19499972500,-70.1273574829102,0,0,0
19499972750,-71.8231048583984,0,0,0
19499973000,-71.1180191040039,0,0,0
19499973250,-70.0613403320313,0,0,0
19499973500,-70.9848785400391,0,0,0
19499973750,-73.297119140625,0,0,0
19499974000,-74.3747253417969,0,0,0
19499974250,-71.8468399047852,0,0,0
19499974500,-69.4551773071289,0,0,0
19499974750,-68.3887176513672,0,0,0
19499975000,-68.1000671386719,0,0,0
19499975250,-67.4260559082031,0,0,0
19499975500,-66.2871398925781,0,0,0
19499975750,-65.3823547363281,0,0,0
19499976000,-65.6311950683594,0,0,0
19499976250,-67.5385131835938,0,0,0
19499976500,-74.7246551513672,0,0,0
19499976750,-79.1780471801758,0,0,0
19499977000,-75.9884033203125,0,0,0
19499977250,-71.450927734375,0,0,0
19499977500,-72.154411315918,0,0,0
19499977750,-74.6438827514648,0,0,0
19499978000,-80.9773178100586,0,0,0
19499978250,-86.5890731811523,0,0,0
19499978500,-80.7538833618164,0,0,0
19499978750,-74.7964248657227,0,0,0
19499979000,-73.6167068481445,0,0,0
19499979250,-73.5829391479492,0,0,0
19499979500,-73.9848480224609,0,0,0
19499979750,-72.8254241943359,0,0,0
19499980000,-71.2984771728516,0,0,0
19499980250,-69.9675750732422,0,0,0
19499980500,-68.6413345336914,0,0,0
19499980750,-67.4320907592773,0,0,0
19499981000,-66.7726516723633,0,0,0
19499981250,-66.9102325439453,0,0,0
19499981500,-66.7349624633789,0,0,0
19499981750,-67.362922668457,0,0,0
19499982000,-69.4781265258789,0,0,0
19499982250,-71.1740951538086,0,0,0
19499982500,-70.9824752807617,0,0,0
19499982750,-69.741096496582,0,0,0
19499983000,-69.9904861450195,0,0,0
19499983250,-70.0337753295898,0,0,0
19499983500,-69.7853164672852,0,0,0
19499983750,-70.5065231323242,0,0,0
19499984000,-72.6224517822266,0,0,0
19499984250,-75.4221725463867,0,0,0
19499984500,-76.8785858154297,0,0,0
19499984750,-75.6317977905273,0,0,0
19499985000,-75.6360626220703,0,0,0
19499985250,-72.7910537719727,0,0,0
19499985500,-67.8893432617188,0,0,0
19499985750,-63.7020606994629,0,0,0
19499986000,-61.8936729431152,0,0,0
19499986250,-61.5500144958496,0,0,0
19499986500,-62.9268226623535,0,0,0
19499986750,-67.0850448608398,0,0,0
19499987000,-69.1585998535156,0,0,0
19499987250,-66.0683975219727,0,0,0
19499987500,-62.019603729248,0,0,0
19499987750,-61.7352256774902,0,0,0
19499988000,-62.507682800293,0,0,0
19499988250,-61.259693145752,0,0,0
19499988500,-60.8771171569824,0,0,0
19499988750,-61.2531051635742,0,0,0
19499989000,-60.2548217773438,0,0,0
19499989250,-58.9600715637207,0,0,0
19499989500,-58.8225250244141,0,0,0
19499989750,-49.3469200134277,0,0,0
19499990000,-37.7901916503906,0,0,0
19499990250,-31.3840713500977,0,0,0
19499990500,-28.5178833007813,0,0,0
19499990750,-28.1320991516113,0,0,0
19499991000,-30.8755645751953,0,0,0
19499991250,-35.9244155883789,0,0,0
19499991500,-43.3230476379395,0,0,0
19499991750,-51.356517791748,0,0,0
19499992000,-57.337459564209,0,0,0
19499992250,-61.0446968078613,0,0,0
19499992500,-61.7842140197754,0,0,0
19499992750,-60.5353164672852,0,0,0
19499993000,-61.0124206542969,0,0,0
19499993250,-63.3503150939941,0,0,0
19499993500,-63.6399917602539,0,0,0
19499993750,-64.1345825195313,0,0,0
19499994000,-68.0173263549805,0,0,0
19499994250,-69.5177917480469,0,0,0
19499994500,-65.3869476318359,0,0,0
19499994750,-61.8871879577637,0,0,0
19499995000,-60.9850311279297,0,0,0
19499995250,-61.639965057373,0,0,0
19499995500,-63.9718704223633,0,0,0
19499995750,-67.2769546508789,0,0,0
19499996000,-69.1724853515625,0,0,0
19499996250,-69.2383193969727,0,0,0
19499996500,-71.0998382568359,0,0,0
19499996750,-74.1614532470703,0,0,0
19499997000,-83.5102920532227,0,0,0
19499997250,-78.735466003418,0,0,0
19499997500,-71.2753524780273,0,0,0
19499997750,-68.6933441162109,0,0,0
19499998000,-68.5802154541016,0,0,0
19499998250,-69.1616973876953,0,0,0
19499998500,-69.8233871459961,0,0,0
19499998750,-71.6958541870117,0,0,0
19499999000,-72.5972290039062,0,0,0
19499999250,-70.9830932617188,0,0,0
19499999500,-68.724235534668,0,0,0
19499999750,-68.6365203857422,0,0,0
19500000000,-70.0700912475586,0,0,0
19500000250,-69.3948593139648,0,0,0
19500000500,-69.6263046264648,0,0,0
19500000750,-72.2273864746094,0,0,0
19500001000,-75.122932434082,0,0,0
19500001250,-75.8197174072266,0,0,0
19500001500,-74.227424621582,0,0,0
19500001750,-73.2830200195312,0,0,0
19500002000,-72.9196624755859,0,0,0
19500002250,-73.5298843383789,0,0,0
19500002500,-74.941291809082,0,0,0
19500002750,-77.1787643432617,0,0,0
19500003000,-79.1258010864258,0,0,0
19500003250,-78.7981185913086,0,0,0
19500003500,-76.7336044311523,0,0,0
19500003750,-74.3295974731445,0,0,0
19500004000,-71.7275695800781,0,0,0
19500004250,-71.5291290283203,0,0,0
