Freq,Power,na,na,na
399911974,-63.5997085571289,0,0,0
399912224,-65.3770980834961,0,0,0
399912474,-67.8658676147461,0,0,0
399912724,-68.5739059448242,0,0,0
399912974,-67.158332824707,0,0,0
399913224,-65.6267013549805,0,0,0
399913474,-64.836784362793,0,0,0
399913724,-64.7636032104492,0,0,0
399913974,-65.0786666870117,0,0,0
399914224,-64.2688751220703,0,0,0
399914474,-63.4762191772461,0,0,0
399914724,-65.5538711547852,0,0,0
399914974,-70.4939346313477,0,0,0
399915224,-71.7914733886719,0,0,0
399915474,-68.8416290283203,0,0,0
399915724,-67.4448394775391,0,0,0
399915974,-67.9685974121094,0,0,0
399916224,-69.3518981933594,0,0,0
399916474,-67.9064712524414,0,0,0
399916724,-64.907356262207,0,0,0
399916974,-62.1293258666992,0,0,0
399917224,-60.3537330627441,0,0,0
399917474,-59.1812515258789,0,0,0
399917724,-58.123950958252,0,0,0
399917974,-57.2231979370117,0,0,0
399918224,-56.8421592712402,0,0,0
399918474,-57.2193908691406,0,0,0
399918724,-58.3924560546875,0,0,0
399918974,-60.2924919128418,0,0,0
399919224,-62.5998344421387,0,0,0
399919474,-64.4927444458008,0,0,0
399919724,-65.0009307861328,0,0,0
399919974,-64.4034881591797,0,0,0
399920224,-63.8958778381348,0,0,0
399920474,-66.1738204956055,0,0,0
399920724,-69.1613616943359,0,0,0
399920974,-64.3237152099609,0,0,0
399921224,-57.5251083374023,0,0,0
399921474,-54.3634490966797,0,0,0
399921724,-54.7281646728516,0,0,0
399921974,-57.9250831604004,0,0,0
399922224,-63.1438598632813,0,0,0
399922474,-66.485969543457,0,0,0
399922724,-62.9105224609375,0,0,0
399922974,-60.9116249084473,0,0,0
399923224,-61.7755355834961,0,0,0
399923474,-68.3498992919922,0,0,0
399923724,-72.2198486328125,0,0,0
399923974,-70.1846618652344,0,0,0
399924224,-67.0602569580078,0,0,0
399924474,-65.8588562011719,0,0,0
399924724,-64.3335189819336,0,0,0
399924974,-63.2043724060059,0,0,0
399925224,-63.5562477111816,0,0,0
399925474,-67.8938903808594,0,0,0
399925724,-72.997444152832,0,0,0
399925974,-71.723274230957,0,0,0
399926224,-66.9193344116211,0,0,0
399926474,-68.161979675293,0,0,0
399926724,-67.9430618286133,0,0,0
399926974,-67.7983093261719,0,0,0
399927224,-69.8862609863281,0,0,0
399927474,-74.1506958007813,0,0,0
399927724,-76.4151306152344,0,0,0
399927974,-72.6877288818359,0,0,0
399928224,-70.6786880493164,0,0,0
399928474,-68.1086959838867,0,0,0
399928724,-64.4956436157227,0,0,0
399928974,-61.460090637207,0,0,0
399929224,-60.2751960754395,0,0,0
399929474,-60.0383567810059,0,0,0
399929724,-59.9244956970215,0,0,0
399929974,-59.6350021362305,0,0,0
399930224,-59.746898651123,0,0,0
399930474,-60.099063873291,0,0,0
399930724,-59.9666328430176,0,0,0
399930974,-58.970645904541,0,0,0
399931224,-58.1311836242676,0,0,0
399931474,-58.6245727539062,0,0,0
399931724,-61.3657264709473,0,0,0
399931974,-67.0757675170898,0,0,0
399932224,-71.6917495727539,0,0,0
399932474,-72.5786743164063,0,0,0
399932724,-70.030891418457,0,0,0
399932974,-65.5885620117188,0,0,0
399933224,-64.3024673461914,0,0,0
399933474,-65.0867614746094,0,0,0
399933724,-66.5453643798828,0,0,0
399933974,-67.1596450805664,0,0,0
399934224,-65.7257461547852,0,0,0
399934474,-62.3439292907715,0,0,0
399934724,-59.3571281433105,0,0,0
399934974,-57.8507843017578,0,0,0
399935224,-58.0923347473145,0,0,0
399935474,-59.909553527832,0,0,0
399935724,-64.8130874633789,0,0,0
399935974,-69.0149154663086,0,0,0
399936224,-66.2261199951172,0,0,0
399936474,-63.3706932067871,0,0,0
399936724,-61.9713363647461,0,0,0
399936974,-60.517147064209,0,0,0
399937224,-60.127010345459,0,0,0
399937474,-62.2472305297852,0,0,0
399937724,-66.3879852294922,0,0,0
399937974,-69.0996551513672,0,0,0
399938224,-64.6261444091797,0,0,0
399938474,-62.6431465148926,0,0,0
399938724,-63.3079681396484,0,0,0
399938974,-64.4890747070313,0,0,0
399939224,-64.2836151123047,0,0,0
399939474,-64.612174987793,0,0,0
399939724,-66.7855987548828,0,0,0
399939974,-71.6652069091797,0,0,0
399940224,-78.9290771484375,0,0,0
399940474,-78.3531494140625,0,0,0
399940724,-73.9208679199219,0,0,0
399940974,-75.5114135742188,0,0,0
399941224,-79.4933929443359,0,0,0
399941474,-76.1816864013672,0,0,0
399941724,-70.7040328979492,0,0,0
399941974,-68.9127807617188,0,0,0
399942224,-70.0495529174805,0,0,0
399942474,-74.9246444702148,0,0,0
399942724,-80.1123809814453,0,0,0
399942974,-79.1801528930664,0,0,0
399943224,-70.2993011474609,0,0,0
399943474,-65.2873916625977,0,0,0
399943724,-62.546028137207,0,0,0
399943974,-61.2012367248535,0,0,0
399944224,-60.9950408935547,0,0,0
399944474,-62.7833938598633,0,0,0
399944724,-65.6119918823242,0,0,0
399944974,-65.3010101318359,0,0,0
399945224,-62.9880218505859,0,0,0
399945474,-61.9935302734375,0,0,0
399945724,-62.5501670837402,0,0,0
399945974,-66.2290802001953,0,0,0
399946224,-71.033332824707,0,0,0
399946474,-70.2948150634766,0,0,0
399946724,-71.1974945068359,0,0,0
399946974,-80.4410934448242,0,0,0
399947224,-71.1290969848633,0,0,0
399947474,-63.3012275695801,0,0,0
399947724,-62.1919860839844,0,0,0
399947974,-62.0298042297363,0,0,0
399948224,-62.3942222595215,0,0,0
399948474,-62.230281829834,0,0,0
399948724,-61.6121826171875,0,0,0
399948974,-62.3354568481445,0,0,0
399949224,-65.6983947753906,0,0,0
399949474,-70.7693252563477,0,0,0
399949724,-74.0627593994141,0,0,0
399949974,-72.2874908447266,0,0,0
399950224,-72.3348693847656,0,0,0
399950474,-70.426155090332,0,0,0
399950724,-67.4097137451172,0,0,0
399950974,-65.4019622802734,0,0,0
399951224,-65.1722946166992,0,0,0
399951474,-67.0441360473633,0,0,0
399951724,-69.220100402832,0,0,0
399951974,-71.5982437133789,0,0,0
399952224,-69.5363311767578,0,0,0
399952474,-65.3098068237305,0,0,0
399952724,-61.9849739074707,0,0,0
399952974,-61.1979370117188,0,0,0
399953224,-63.6529083251953,0,0,0
399953474,-70.0457916259766,0,0,0
399953724,-71.0408020019531,0,0,0
399953974,-68.2705993652344,0,0,0
399954224,-64.9807357788086,0,0,0
399954474,-62.5417442321777,0,0,0
399954724,-61.4651336669922,0,0,0
399954974,-62.1502265930176,0,0,0
399955224,-62.9782905578613,0,0,0
399955474,-63.3528289794922,0,0,0
399955724,-63.7452201843262,0,0,0
399955974,-64.1884613037109,0,0,0
399956224,-65.1306457519531,0,0,0
399956474,-65.6240615844727,0,0,0
399956724,-63.3057022094727,0,0,0
399956974,-59.3306694030762,0,0,0
399957224,-57.2784843444824,0,0,0
399957474,-56.0360336303711,0,0,0
399957724,-55.0086898803711,0,0,0
399957974,-53.9428672790527,0,0,0
399958224,-52.725154876709,0,0,0
399958474,-51.2973289489746,0,0,0
399958724,-50.1492729187012,0,0,0
399958974,-49.0424003601074,0,0,0
399959224,-48.3987998962402,0,0,0
399959474,-48.0297393798828,0,0,0
399959724,-47.2657279968262,0,0,0
399959974,-45.7956581115723,0,0,0
399960224,-44.4117813110352,0,0,0
399960474,-43.5325202941895,0,0,0
399960724,-41.925365447998,0,0,0
399960974,-44.0389518737793,0,0,0
399961224,-43.9084777832031,0,0,0
399961474,-37.3608016967773,0,0,0
399961724,-27.6199550628662,0,0,0
399961974,-24.2825012207031,0,0,0
399962224,-23.7036380767822,0,0,0
399962474,-25.9139633178711,0,0,0
399962724,-30.1709442138672,0,0,0
399962974,-35.261905670166,0,0,0
399963224,-39.5360679626465,0,0,0
399963474,-42.0666542053223,0,0,0
399963724,-43.7063522338867,0,0,0
399963974,-44.8861236572266,0,0,0
399964224,-45.8822402954102,0,0,0
399964474,-46.3652305603027,0,0,0
399964724,-46.2457160949707,0,0,0
399964974,-46.4298706054688,0,0,0
399965224,-47.2427520751953,0,0,0
399965474,-48.5761604309082,0,0,0
399965724,-49.8966445922852,0,0,0
399965974,-51.6378059387207,0,0,0
399966224,-53.3452606201172,0,0,0
399966474,-54.2280006408691,0,0,0
399966724,-54.0690040588379,0,0,0
399966974,-54.1937713623047,0,0,0
399967224,-54.9159927368164,0,0,0
399967474,-55.860725402832,0,0,0
399967724,-57.2186622619629,0,0,0
399967974,-59.3603553771973,0,0,0
399968224,-61.958812713623,0,0,0
399968474,-63.8486518859863,0,0,0
399968724,-63.9204444885254,0,0,0
399968974,-64.6934967041016,0,0,0
399969224,-70.0557403564453,0,0,0
399969474,-72.1459121704102,0,0,0
399969724,-73.4911956787109,0,0,0
399969974,-72.8476867675781,0,0,0
399970224,-67.5347290039063,0,0,0
399970474,-64.1172714233398,0,0,0
399970724,-65.3553619384766,0,0,0
399970974,-70.8736801147461,0,0,0
399971224,-73.8944091796875,0,0,0
399971474,-72.3409957885742,0,0,0
399971724,-68.265495300293,0,0,0
399971974,-64.7647933959961,0,0,0
399972224,-62.2860794067383,0,0,0
399972474,-61.2008323669434,0,0,0
399972724,-60.9960098266602,0,0,0
399972974,-61.1926879882813,0,0,0
399973224,-62.1896095275879,0,0,0
399973474,-64.4895172119141,0,0,0
399973724,-67.5439147949219,0,0,0
399973974,-68.7901840209961,0,0,0
399974224,-73.1458282470703,0,0,0
399974474,-70.5735855102539,0,0,0
399974724,-65.3071212768555,0,0,0
399974974,-61.7817535400391,0,0,0
399975224,-61.3616676330566,0,0,0
399975474,-64.4448623657227,0,0,0
399975724,-69.3587493896484,0,0,0
399975974,-65.5024795532227,0,0,0
399976224,-62.7292137145996,0,0,0
399976474,-62.1111488342285,0,0,0
399976724,-63.2490882873535,0,0,0
399976974,-65.1620330810547,0,0,0
399977224,-67.2176132202148,0,0,0
399977474,-66.8775024414063,0,0,0
399977724,-65.446174621582,0,0,0
399977974,-64.2193069458008,0,0,0
399978224,-63.9591217041016,0,0,0
399978474,-65.4375534057617,0,0,0
399978724,-71.7238311767578,0,0,0
399978974,-86.0149612426758,0,0,0
399979224,-72.0654067993164,0,0,0
399979474,-66.7593002319336,0,0,0
399979724,-65.2806015014648,0,0,0
