Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length,Rating Code
2018-05-26,Clearcut,5.11d,2nd go,,1,Equinox,,,Send,,Sport,,,
2018-05-26,Kobra Kai ,5.12b,2nd go,,1,Equinox,,,Send,,Sport,,,
2018-05-26,Clip it or Skip it,5.12a,Onsight,,1,Equinox,,,Send,Onsight,Sport,,,
2018-05-26,Right side WU,5.11a,Onsight,,1,Equinox,,,Send,Onsight,Sport,,,
2018-05-26,Groove Tube R,5.12b,"3rd go, 2 Days",,1,Equinox,,,Send,,Sport,,,
2018-05-26,Artifact,5.12d,"4th go, 2 Days",,1,Equinox,,,Send,,Sport,,,
2018-05-26,Left Side WU,5.11a,Onsight,,1,Equinox,,,Send,Onsight,Sport,,,
2019-07-22,Trifecta,5.12a,3rd go,,1,Equinox,,,Send,,Sport,,,
2019-07-22,Sandflea,5.12a,Onsight,,1,Equinox,,,Send,Onsight,Sport,,,
2019-07-22,Sandpiper,5.12b,2nd go.,,1,Equinox,,,Send,,Sport,,,
2019-07-22,Clip it or Skip it,5.12c,2nd go + 1 last year,,1,Equinox,,,Send,,Sport,,,
2019-07-22,Black Magic,5.12d,2nd go!!!,,1,Equinox,,,Send,,Sport,,,
2019-07-22,Himachi,5.11b,Onsight,,1,Equinox,,,Send,Onsight,Sport,,,
2019-07-22,Wasabi ,5.12a,Onisight,,1,Equinox,,,Send,Onsight,Sport,,,
2019-07-22,Groove Tube Direct,5.13a,3rd go!!,,1,Equinox,,,Send,,Sport,,,
2019-07-22,City Part P2 ,5.10b ,Offset .2/.3 bomber.,,1,Index,,,Send,Onsight,Trad,,,
2019-01-25,Minstrel in the Gallery ,5.12a,Onsight,,,,,,Send,Onsight,Sport,,,
2019-07-30,Ouray Rink Wall,5.12a,Onsight,,1,Ouray,,,Send,Onsight,Sport,,,
2019-07-30,Ouray Rink Wall,5.12a,Onsight,,1,Ouray,,,Send,Onsight,Sport,,,
2019-07-22,Next to The Reacharound,5.12a,Onsight,,1,Squamish,,,Send,Onsight,Sport,,,
2018-05-26,Sunshine and Lollipops,V6,4th go. ,,1,Squamish,,,Send,,Boulder,,,
2018-05-26,Missing Boulders 1,V4,2nd go,,1,Squamish,,,Send,,Boulder,,,
2018-05-26,Missing Boulders 2,V4,2nd go,,1,Squamish,,,Send,,Boulder,,,
2019-12-03,Mind Bender,V7,5th go. ,,1,Squamish,,,Send,,Boulder,,,
2018-05-26,Obesity Sit,V8,,,,Goldbar,,,Send,,Boulder,,,
2018-05-26,The Hopeful,V7,,,,Goldbar,,,Send,,Boulder,,,
2018-05-26,Sinistricty ,V7,,,,Goldbar,,,Send,,Boulder,,,
2019-05-26,Money Badger ,V6,,,,Sasquatch,,,Send,,Boulder,,,
2018-12-26,Pinch Match ,V4,5th go,,,Governors Stable,,,Send,,Boulder,,,
